Наименование,Описание,Категория,Цена,Фото
Чечевичный суп,Бараний бульон,Суббота,220 с,https://nambafood.kg/dish_image/108048.png
Келле пача,"Говядина, баранина",Суббота,260 с,https://nambafood.kg/dish_image/108086.png
Суп из нута,Говядина,Суббота,250 с,https://nambafood.kg/dish_image/108084.png
Рис,150 гр.,Суббота,90 с,https://nambafood.kg/dish_image/108105.png
Турецкий завтрак,,Завтраки,420 с,https://nambafood.kg/dish_image/108049.png
Яичница с колбасой,,Завтраки,220 с,https://nambafood.kg/dish_image/108040.png
Хайдари,150 гр.,Завтраки,200 с,https://nambafood.kg/dish_image/108033.png
Эзме,150 гр.,Завтраки,220 с,https://nambafood.kg/dish_image/108038.png
Кетчуп,50 гр.,Завтраки,50 с,https://nambafood.kg/dish_image/108114.png
Майонез,50 гр.,Завтраки,50 с,https://nambafood.kg/dish_image/108115.png
Соления,200 гр.,Салаты и закуски,170 с,https://nambafood.kg/dish_image/108052.png
Соленые огурцы,150 гр.,Салаты и закуски,150 с,https://nambafood.kg/dish_image/108068.png
Бибер (перчики) 50 гр.,,Салаты и закуски,70 с,https://nambafood.kg/dish_image/108101.png
Бибер (перчики) 200 гр.,,Салаты и закуски,170 с,https://nambafood.kg/dish_image/108102.png
Ассорти,200 гр.,Салаты и закуски,170 с,https://nambafood.kg/dish_image/108097.png
Маслины 50 гр.,,Салаты и закуски,70 с,https://nambafood.kg/dish_image/108087.png
Маслины 200 гр.,,Салаты и закуски,170 с,https://nambafood.kg/dish_image/108088.png
Жажик,150 гр.,Салаты и закуски,220 с,https://nambafood.kg/dish_image/108100.png
Вади,200 гр.,Салаты и закуски,220 с,https://nambafood.kg/dish_image/108109.png
Салат барбунья,200 гр.,Салаты и закуски,250 с,https://nambafood.kg/dish_image/108059.png
Салат яичный,200 гр.,Салаты и закуски,200 с,https://nambafood.kg/dish_image/108060.png
Салат витаминка,200 гр.,Салаты и закуски,180 с,https://nambafood.kg/dish_image/108067.png
Салат свекольный,200 гр.,Салаты и закуски,180 с,https://nambafood.kg/dish_image/108056.png
Оливье,200 гр.,Салаты и закуски,200 с,https://nambafood.kg/dish_image/108058.png
Салат китайский,200 гр. Говядина,Салаты и закуски,290 с,https://nambafood.kg/dish_image/108066.png
Салат из цветной капусты,200 гр.,Салаты и закуски,220 с,https://nambafood.kg/dish_image/108063.png
Салат мчс,150 гр.,Салаты и закуски,150 с,https://nambafood.kg/dish_image/108061.png
Салат баклажановый,200 гр.,Салаты и закуски,260 с,https://nambafood.kg/dish_image/108055.png
Запеченный баклажан,200 гр.,Салаты и закуски,240 с,https://nambafood.kg/dish_image/108110.png
Салат из печени и фри,200 гр.,Салаты и закуски,220 с,https://nambafood.kg/dish_image/108051.png
Салат чобан,250 гр.,Салаты и закуски,220 с,https://nambafood.kg/dish_image/108071.png
