Наименование,Описание,Категория,Цена,Фото
Шакарап,"150 г. Сочные помидоры, репчатый лук, чеснок и зелень.",Салаты,80 с,https://nambafood.kg/dish_image/111513.png
Цезарь с курицей,250 г,Салаты,200 с,https://nambafood.kg/dish_image/111530.png
Греческий салат,"250 г. Сочные помидоры, хрустящие огурцы, красный лук, сладкий болгарский перец, сыр фета, маслины и оливковое масло.",Салаты,180 с,https://nambafood.kg/dish_image/111514.png
Суп «Хорчо»‎‎,400 г,Супы,180 с,https://nambafood.kg/dish_image/132130.png
Чечевичный суп,400 г,Супы,120 с,https://nambafood.kg/dish_image/132131.png
Борщ,400 г,Супы,150 с,https://nambafood.kg/dish_image/132132.png
Тандырная лепёшка,200 г. Пышная традиционная тандырная лепёшка с золотистой хрустящей корочкой и ароматным кунжутом.,Выпечка,30 с,https://nambafood.kg/dish_image/111501.png
Чебурек с джусаем,,Выпечка,120 с,https://nambafood.kg/dish_image/118535.png
Чебурек с телятиной,"160 г. Сочный, хрустящий чебурек из рубленого мяса телятины с ароматными специями и луком.",Выпечка,130 с,https://nambafood.kg/dish_image/111497.png
Чебурек с сыром,190 г,Выпечка,120 с,https://nambafood.kg/dish_image/111496.png
Самсы с сыром,,Выпечка,120 с,https://nambafood.kg/dish_image/118534.png
Самса с говядиной,"180 г. Узбекская самса с рубленной говядиной, луком и ароматным кунжутом.",Выпечка,140 с,https://nambafood.kg/dish_image/111502.png
Самса с курицей,"180 г. Узбекская самса с курицей, луком и ароматным кунжутом.",Выпечка,130 с,https://nambafood.kg/dish_image/111503.png
Самсы с курицей и с сыром,,Выпечка,130 с,https://nambafood.kg/dish_image/118533.png
Сосиска в тесте,130 г,Выпечка,50 с,https://nambafood.kg/dish_image/111516.png
Хачапури по-мегрельски (стандарт),400 г,Выпечка,220 с,https://nambafood.kg/dish_image/111520.png
Хачапури по-аджарски (стандарт),450 г,Выпечка,240 с,https://nambafood.kg/dish_image/111518.png
Хачапури по-мегрельски (большой),600 г,Выпечка,320 с,https://nambafood.kg/dish_image/111844.png
Хачапури по-аджарски (большой),600 г,Выпечка,330 с,https://nambafood.kg/dish_image/111845.png
Гвезели с курицей и грибами,,Выпечка,110 с,https://nambafood.kg/dish_image/131945.png
