Наименование,Описание,Категория,Цена,Фото
Сосиска в тесте,130 г,Выпечка,50 с,https://nambafood.kg/dish_image/132773.png
Хачапури по-мегрельски (стандарт),400 г,Выпечка,220 с,https://nambafood.kg/dish_image/132775.png
Хачапури по-аджарски (стандарт),450 г,Выпечка,240 с,https://nambafood.kg/dish_image/134705.png
Хачапури по-мегрельски (большой),600 г,Выпечка,320 с,https://nambafood.kg/dish_image/132815.png
Хачапури по-аджарски (большой),600 г,Выпечка,330 с,https://nambafood.kg/dish_image/132816.png
Гвезели со шпинатом и сыром,,Выпечка,105 с,https://nambafood.kg/dish_image/134707.png
"Гвезели с курицей, грибами с сыром",,Выпечка,110 с,https://nambafood.kg/dish_image/134709.png
Гвезели с картошкой и сыром,,Выпечка,65 с,https://nambafood.kg/dish_image/134708.png
Гурули с курицей и овощами,,Выпечка,100 с,https://nambafood.kg/dish_image/134711.png
Кубдари (маленький),"Телятина, овощи, сыр",Выпечка,120 с,https://nambafood.kg/dish_image/134706.png
Саамосы,,Выпечка,75 с,https://nambafood.kg/dish_image/134704.png
Сосиски в тесте,,Выпечка,45 с,https://nambafood.kg/dish_image/132834.png
Хрустящие рулетики,,Выпечка,220 с,https://nambafood.kg/dish_image/134710.png
Сырники 1 шт.,,Выпечка,40 с,https://nambafood.kg/dish_image/133430.png
"Гурули с яйцом, сыром и зеленым луком",,Выпечка,130 с,https://nambafood.kg/dish_image/137173.png
Хинкали с сыром 5 шт,,Горячие блюда,250 с,https://nambafood.kg/dish_image/132842.png
Хинкали с мясом 5 шт,,Горячие блюда,250 с,https://nambafood.kg/dish_image/132843.png
Шаурма с курицей,,Горячие блюда,195 с,https://nambafood.kg/dish_image/133398.png
Шаурма с телятиной,,Горячие блюда,210 с,https://nambafood.kg/dish_image/133399.png
Шаурма ассорти,,Горячие блюда,195 с,https://nambafood.kg/dish_image/133400.png
Долма,,Горячие блюда,240 с,https://nambafood.kg/dish_image/133435.png
Картошка фри,,Горячие блюда,90 с,https://nambafood.kg/dish_image/133401.png
Люля кебаб,,Горячие блюда,140 с,https://nambafood.kg/dish_image/137172.png
Цыпленок табака,,Курица,490 с,https://nambafood.kg/dish_image/134703.png
Голень,,Курица,80 с,https://nambafood.kg/dish_image/133431.png
Крыло,,Курица,60 с,https://nambafood.kg/dish_image/133434.png
Бедро,,Курица,80 с,https://nambafood.kg/dish_image/133433.png
Суп «Хорчо»‎‎,400 г,Супы,180 с,https://nambafood.kg/dish_image/132839.png
Чечевичный суп,400 г,Супы,120 с,https://nambafood.kg/dish_image/132840.png
Суп лапша,,Супы,130 с,https://nambafood.kg/dish_image/133402.png
Bonaqua 1 л. Без газа,,Напитки,47 с,https://nambafood.kg/dish_image/132805.png
"Coca-cola 0,5 л",,Напитки,60 с,https://nambafood.kg/dish_image/132807.png
Coca-Cola 1 л,,Напитки,90 с,https://nambafood.kg/dish_image/132809.png
"Натахтари 0,5 л",,Напитки,130 с,https://nambafood.kg/dish_image/134730.png
Натахтари 1 л,,Напитки,155 с,https://nambafood.kg/dish_image/134731.png
Натахтари 2 л,,Напитки,260 с,https://nambafood.kg/dish_image/134732.png
"Coca-Cola 1,5 л",,Напитки,108 с,https://nambafood.kg/dish_image/134733.png
