Наименование,Описание,Категория,Цена,Фото
Сосиски в тесте 1 шт.,,Завтрак,50 с,https://nambafood.kg/dish_image/99502.png
Манная каша,,Завтрак,80 с,https://nambafood.kg/dish_image/99503.png
Рисовая каша,,Завтрак,80 с,https://nambafood.kg/dish_image/99504.png
Овсяная каша,,Завтрак,80 с,https://nambafood.kg/dish_image/99505.png
Гречневая каша,,Завтрак,80 с,https://nambafood.kg/dish_image/99506.png
Яичница,,Завтрак,90 с,https://nambafood.kg/dish_image/99507.png
Блинчик без начинки 1 шт.,,Завтрак,20 с,https://nambafood.kg/dish_image/99508.png
Блинчик с творогом 1 шт.,,Завтрак,45 с,https://nambafood.kg/dish_image/99510.png
Омлет Борано,,Завтрак,130 с,https://nambafood.kg/dish_image/99511.png
Сырники 1 шт.,,Завтрак,40 с,https://nambafood.kg/dish_image/99512.png
Наполеон,,Десерт,150 с,https://nambafood.kg/dish_image/99899.png
Медовик,,Десерт,150 с,https://nambafood.kg/dish_image/99900.png
Греческий салат,"250 гр. Огурцы, помидоры, сыр ""фитакса"", листья салата, специи.",Салаты,180 с,https://nambafood.kg/dish_image/70915.png
Греческий салат 0.7,"150 гр. Огурцы, помидоры, сыр ""фитакса"", листья салата, специи.",Салаты,120 с,https://nambafood.kg/dish_image/113872.png
Грузинский салат,"Помидоры, огурцы, лук, ореховая заправка.",Салаты,170 с,https://nambafood.kg/dish_image/70914.png
Саамо,"Баклажаны, листья салата, помидоры, брынза майонез.",Салаты,170 с,https://nambafood.kg/dish_image/80113.png
Баклажанные рулетки,,Салаты,230 с,https://nambafood.kg/dish_image/80116.png
Теплый салат,,Салаты,230 с,https://nambafood.kg/dish_image/99515.png
Салат из брокколи,"Помидоры, огурцы, брокколи, зелень.",Салаты,140 с,https://nambafood.kg/dish_image/70917.png
Свежий салат,,Салаты,80 с,https://nambafood.kg/dish_image/99516.png
Салат Восточный,"Капуста цветная, брокколи, говядина, помидоры, перец болгарский, баклажан, чеснок.",Салаты,170 с,https://nambafood.kg/dish_image/80111.png
Оливье,,Салаты,120 с,https://nambafood.kg/dish_image/103212.png
Баклажанный веер,,Салаты,220 с,https://nambafood.kg/dish_image/109871.png
Баклажаны в кисло-сладком соусе,,Салаты,200 с,https://nambafood.kg/dish_image/109872.png
Витаминка,,Салаты,70 с,https://nambafood.kg/dish_image/109875.png
Салат Гнездо,,Салаты,120 с,https://nambafood.kg/dish_image/109876.png
Салат Имертинский,,Салаты,220 с,https://nambafood.kg/dish_image/109901.png
Капустный салат,,Салаты,40 с,https://nambafood.kg/dish_image/109877.png
Морковный салат,,Салаты,70 с,https://nambafood.kg/dish_image/109879.png
"Салат ""Нежность""",,Салаты,130 с,https://nambafood.kg/dish_image/109880.png
Салат Пхали ассорти,,Салаты,260 с,https://nambafood.kg/dish_image/109881.png
Свекольный салат,,Салаты,70 с,https://nambafood.kg/dish_image/109882.png
Сельдь под шубой,,Салаты,120 с,https://nambafood.kg/dish_image/109883.png
Салат фунчоза,,Салаты,170 с,https://nambafood.kg/dish_image/109884.png
Огурцы с говядиной,,Салаты,220 с,https://nambafood.kg/dish_image/113871.png
"Суп ""Харчо""","Телятина, перец, рис",Первые блюда,180 с,https://nambafood.kg/dish_image/70918.png
Чихиртма,"Курица, яйцо, зелень.",Первые блюда,150 с,https://nambafood.kg/dish_image/80117.png
Татариахни,"Телятина, зелень, чеснок",Первые блюда,180 с,https://nambafood.kg/dish_image/80118.png
Бозбаш,"Телячий фарш, томаты, зелень",Первые блюда,150 с,https://nambafood.kg/dish_image/80120.png
Суп лапша по-домашнему,,Первые блюда,130 с,https://nambafood.kg/dish_image/80121.png
Суп чечевичный,,Первые блюда,120 с,https://nambafood.kg/dish_image/70919.png
Солянка,"Курица копченная, колбаса, соленый огурец, оливки, томаты.",Первые блюда,200 с,https://nambafood.kg/dish_image/80119.png
Окрошка,,Первые блюда,130 с,https://nambafood.kg/dish_image/70847.png
Хашлама,"Телятина, картошка, чеснок, зелень",Первые блюда,250 с,https://nambafood.kg/dish_image/99517.png
Лазанья,,Первые блюда,205 с,https://nambafood.kg/dish_image/103293.png
Суп с фасолью по-грузински,,Первые блюда,170 с,https://nambafood.kg/dish_image/109867.png
Суп со шпинатом,,Первые блюда,140 с,https://nambafood.kg/dish_image/109868.png
Суп хинкали,,Первые блюда,150 с,https://nambafood.kg/dish_image/109869.png
Борщ,,Первые блюда,150 с,https://nambafood.kg/dish_image/109885.png
Пельмени,,Первые блюда,130 с,https://nambafood.kg/dish_image/109887.png
Оджахури из говядины,"Картофель, лук, перец, помидоры, зелень, специи",Вторые блюда,230 с,https://nambafood.kg/dish_image/70921.png
Чахохбили,"Куриная грудка, томаты, перец болгарский, лук, чеснок, зелень, сливочное масло",Вторые блюда,230 с,https://nambafood.kg/dish_image/70928.png
Форель с овощами,"Лук, помидоры, лимон.",Вторые блюда,450 с,https://nambafood.kg/dish_image/80129.png
Чашушули с грибами,,Вторые блюда,220 с,https://nambafood.kg/dish_image/99906.png
Сациви,"Курица, грецкие орехи, чеснок, грузинские специи",Вторые блюда,250 с,https://nambafood.kg/dish_image/99907.png
Хинкали с говядиной,1 порция,Вторые блюда,250 с,https://nambafood.kg/dish_image/70995.png
Хинкали с сыром,1 порция,Вторые блюда,250 с,https://nambafood.kg/dish_image/70996.png
Чанахи,"Телятина, баклажан, помидор, перец, картошка",Вторые блюда,240 с,https://nambafood.kg/dish_image/99909.png
Аджапсандали,"Лук, перец, помидоры, баклажан, зелень.",Вторые блюда,220 с,https://nambafood.kg/dish_image/80177.png
Мясо по-грузински,"Мясо говядины, сыр, шампиньоны, картофель, помидоры",Вторые блюда,270 с,https://nambafood.kg/dish_image/70957.png
Бефстроганов,,Вторые блюда,200 с,https://nambafood.kg/dish_image/109902.png
Бифштекс с яйцом,,Вторые блюда,170 с,https://nambafood.kg/dish_image/109903.png
Бризоль,,Вторые блюда,200 с,https://nambafood.kg/dish_image/109904.png
Вареники,,Вторые блюда,120 с,https://nambafood.kg/dish_image/109905.png
Говядина с овощами,,Вторые блюда,190 с,https://nambafood.kg/dish_image/109906.png
Голубцы 2 шт,,Вторые блюда,150 с,https://nambafood.kg/dish_image/109907.png
Картофель жареный с мясом,,Вторые блюда,190 с,https://nambafood.kg/dish_image/109910.png
Котлета куриная,,Вторые блюда,100 с,https://nambafood.kg/dish_image/109911.png
Котлета по-киевски,,Вторые блюда,195 с,https://nambafood.kg/dish_image/109912.png
Котлета с говядиной,,Вторые блюда,120 с,https://nambafood.kg/dish_image/109913.png
Мясо по-восточному,,Вторые блюда,230 с,https://nambafood.kg/dish_image/109914.png
Перец фаршированный,,Вторые блюда,100 с,https://nambafood.kg/dish_image/109915.png
Плов с говядиной,,Вторые блюда,210 с,https://nambafood.kg/dish_image/109916.png
Плов с курицей,,Вторые блюда,190 с,https://nambafood.kg/dish_image/110137.png
Сосиска жареная,1 шт.,Вторые блюда,50 с,https://nambafood.kg/dish_image/109918.png
Фрикасе,,Вторые блюда,190 с,https://nambafood.kg/dish_image/109920.png
Курица в сливочном соусе с шампиньонами без гарнира,Без гарнира,Европейские блюда,210 с,https://nambafood.kg/dish_image/99884.png
Феттучини,,Европейские блюда,210 с,https://nambafood.kg/dish_image/99885.png
Спагетти болоньезе,,Европейские блюда,220 с,https://nambafood.kg/dish_image/99886.png
Куриный рулет со шпинатом и сыром,,Европейские блюда,200 с,https://nambafood.kg/dish_image/99887.png
Хачапури по-Мегрельски (Маленький),Сыр сулугуни внутри и снаружи,Выпечка,220 с,https://nambafood.kg/dish_image/70856.png
Хачапури по-Мегрельски (Большой),Сыр сулугуни внутри и снаружи,Выпечка,320 с,https://nambafood.kg/dish_image/70857.png
Хачапури по-Аджарски (Маленький),"Сыр сулугуни, Яйцо",Выпечка,240 с,https://nambafood.kg/dish_image/134712.png
Хачапури по-Аджарски (Большой),"Сыр сулугуни, Яйцо",Выпечка,330 с,https://nambafood.kg/dish_image/134713.png
Хачапури по-Имеретински (маленький),,Выпечка,210 с,https://nambafood.kg/dish_image/80133.png
Хачапури по-Имеретински (большой),,Выпечка,310 с,https://nambafood.kg/dish_image/80134.png
"Гвезели шпинат сыр, зелень",,Выпечка,105 с,https://nambafood.kg/dish_image/134714.png
Гурули,"Куриная грудка, овощи",Выпечка,100 с,https://nambafood.kg/dish_image/134715.png
Гурули с сыром и яйцом,,Выпечка,130 с,https://nambafood.kg/dish_image/134716.png
"Гвезели. Картофель, сыр",,Выпечка,65 с,https://nambafood.kg/dish_image/134717.png
Кубдари (Маленькая),"Говядина, сыр, овощи, специи",Выпечка,120 с,https://nambafood.kg/dish_image/70954.png
Грузинский пирог,"Говядина, сыр, зелень, лук",Выпечка,110 с,https://nambafood.kg/dish_image/108179.png
Кубдари с баклажанами и сыром,,Выпечка,110 с,https://nambafood.kg/dish_image/134718.png
Люля кебаб грузинский,Шашлык в тесте,Выпечка,140 с,https://nambafood.kg/dish_image/134719.png
"Гвезели куриная грудка, сыр, грибы",,Выпечка,110 с,https://nambafood.kg/dish_image/134720.png
Лобиани с фасолью маленький,,Выпечка,150 с,https://nambafood.kg/dish_image/70869.png
Лобиани с фасолью большой,,Выпечка,180 с,https://nambafood.kg/dish_image/100382.png
Хлеб 1 кусочек,,Выпечка,5 с,https://nambafood.kg/dish_image/79796.png
Хачапури с мясом,Говядина,Выпечка,320 с,https://nambafood.kg/dish_image/109924.png
Хрустящие рулетики,"Лаваш, сыр, говядина",Шаурма,220 с,https://nambafood.kg/dish_image/134722.png
Шаурма с говядиной,,Шаурма,210 с,https://nambafood.kg/dish_image/70870.png
Шаурма с курицей,,Шаурма,195 с,https://nambafood.kg/dish_image/70871.png
Шаурма ассорти,,Шаурма,200 с,https://nambafood.kg/dish_image/70872.png
Жареный сулугуни,"Сыр сулугуни, зелень, черри.",Шаурма,210 с,https://nambafood.kg/dish_image/80175.png
Крылышки маленькие 1шт,,Курица,50 с,https://nambafood.kg/dish_image/70930.png
Бедрышки большие 1шт,,Курица,90 с,https://nambafood.kg/dish_image/70935.png
Крылышки большие 1шт,,Курица,70 с,https://nambafood.kg/dish_image/70931.png
Бедрышки маленькие 1шт,,Курица,70 с,https://nambafood.kg/dish_image/70934.png
Голень 1 шт. маленькая,,Курица,80 с,https://nambafood.kg/dish_image/100381.png
Куриная отбивная с помидорами,,Курица,200 с,https://nambafood.kg/dish_image/109926.png
Курица с грибами,,Курица,200 с,https://nambafood.kg/dish_image/109927.png
Курица с овощами,,Курица,200 с,https://nambafood.kg/dish_image/109928.png
Голень 1 шт. большая,,Курица,90 с,https://nambafood.kg/dish_image/137214.png
Пицца с говядиной,,Пицца,330 с,https://nambafood.kg/dish_image/70955.png
Пицца с курицей,,Пицца,330 с,https://nambafood.kg/dish_image/70874.png
Пепперони,,Пицца,330 с,https://nambafood.kg/dish_image/99569.png
Вегетарианская пицца,,Пицца,330 с,https://nambafood.kg/dish_image/109870.png
Чкмерули,"Цыпленок, чеснок, сливки, молоко.",Горячие закуски,230 с,https://nambafood.kg/dish_image/80174.png
Долма,"Телятина, виноградные листья.",Горячие закуски,240 с,https://nambafood.kg/dish_image/94312.png
Картофель фри,,Гарниры,90 с,https://nambafood.kg/dish_image/94226.png
Рис,,Гарниры,65 с,https://nambafood.kg/dish_image/94228.png
