Наименование,Описание,Категория,Цена,Фото
Мясное ассорти,,Холодные закуски и салаты,580 с,https://nambafood.kg/dish_image/101288.png
Консервированные яйца с зеленым перцем,,Холодные закуски и салаты,360 с,https://nambafood.kg/dish_image/101289.png
Говяжья требуха,,Холодные закуски и салаты,300 с,https://nambafood.kg/dish_image/101290.png
Вареная говядина в остром соусе,,Холодные закуски и салаты,320 с,https://nambafood.kg/dish_image/101291.png
Салат из требухи,,Холодные закуски и салаты,300 с,https://nambafood.kg/dish_image/101292.png
Морская  капуста в кисло-остром соусе,,Холодные закуски и салаты,240 с,https://nambafood.kg/dish_image/101293.png
Холодная курица,,Холодные закуски и салаты,600 с,https://nambafood.kg/dish_image/101294.png
Курица в пряно-остром соусе,,Холодные закуски и салаты,690 с,https://nambafood.kg/dish_image/101295.png
Курица в средне-остром соусе,,Холодные закуски и салаты,600 с,https://nambafood.kg/dish_image/101296.png
Салат с луком и зеленью,,Холодные закуски и салаты,220 с,https://nambafood.kg/dish_image/101297.png
Маш в кисло-остром соусе,,Холодные закуски и салаты,200 с,https://nambafood.kg/dish_image/101298.png
Салат из спаржи,,Холодные закуски и салаты,240 с,https://nambafood.kg/dish_image/101299.png
Доуфу с зеленым луком,,Холодные закуски и салаты,180 с,https://nambafood.kg/dish_image/101300.png
Говядина с острым перцем,,Холодные закуски и салаты,380 с,https://nambafood.kg/dish_image/101555.png
Говядина с огурцами,,Холодные закуски и салаты,280 с,https://nambafood.kg/dish_image/101302.png
Огурцы с помидором,,Холодные закуски и салаты,200 с,https://nambafood.kg/dish_image/101556.png
Черная фунчоза в в кисло-остром соусе,,Холодные закуски и салаты,220 с,https://nambafood.kg/dish_image/101557.png
Шпинат с фунчозой,,Холодные закуски и салаты,240 с,https://nambafood.kg/dish_image/101305.png
Салат из черных грибов,,Холодные закуски и салаты,260 с,https://nambafood.kg/dish_image/101306.png
"Салат из моркови, морской капусты и фунчозы",,Холодные закуски и салаты,240 с,https://nambafood.kg/dish_image/101307.png
Капуста в кисло-остром соусе,,Холодные закуски и салаты,200 с,https://nambafood.kg/dish_image/101308.png
Черные яйца с доуфу,,Холодные закуски и салаты,260 с,https://nambafood.kg/dish_image/101309.png
Осётр на пару,,Блюда из рыбы и морепродуктов,1300 с,https://nambafood.kg/dish_image/101310.png
"Осетр ""Синпай"" острый",,Блюда из рыбы и морепродуктов,1300 с,https://nambafood.kg/dish_image/101558.png
Креветки с хрустящим перцем 0.7,,Блюда из рыбы и морепродуктов,900 с,https://nambafood.kg/dish_image/101312.png
Креветки с хрустящим перцем,,Блюда из рыбы и морепродуктов,1200 с,https://nambafood.kg/dish_image/101313.png
"Креветки с чесноком на пару 0,7",,Блюда из рыбы и морепродуктов,900 с,https://nambafood.kg/dish_image/101314.png
Креветки с чесноком на пару,,Блюда из рыбы и морепродуктов,1200 с,https://nambafood.kg/dish_image/101315.png
"Варёные креветки 0,7",,Блюда из рыбы и морепродуктов,900 с,https://nambafood.kg/dish_image/101316.png
Вареные креветки,,Блюда из рыбы и морепродуктов,1200 с,https://nambafood.kg/dish_image/101317.png
Креветки очищенные с сельдереем,,Блюда из рыбы и морепродуктов,580 с,https://nambafood.kg/dish_image/101319.png
"Жареные креветки 0,7",,Блюда из рыбы и морепродуктов,900 с,https://nambafood.kg/dish_image/101320.png
Жареные креветки,,Блюда из рыбы и морепродуктов,1200 с,https://nambafood.kg/dish_image/101321.png
Жареные морепродукты в горшочке,,Блюда из рыбы и морепродуктов,360 с,https://nambafood.kg/dish_image/101559.png
Запечённая рыба по-чунцински,,Блюда из рыбы и морепродуктов,1100 с,https://nambafood.kg/dish_image/101323.png
Филе рыбы в кисло-сладком соусе,,Блюда из рыбы и морепродуктов,320 с,https://nambafood.kg/dish_image/101324.png
Филе рыбы в кисло-остром соусе,,Блюда из рыбы и морепродуктов,320 с,https://nambafood.kg/dish_image/101325.png
Живая рыба с маринованными овощами,,Блюда из рыбы и морепродуктов,780 с,https://nambafood.kg/dish_image/101326.png
Филе рыбы на шпажках,,Блюда из рыбы и морепродуктов,320 с,https://nambafood.kg/dish_image/101327.png
Креветки на жаровне,,Блюда из рыбы и морепродуктов,450 с,https://nambafood.kg/dish_image/101560.png
Жареные кальмары с брокколи,,Блюда из рыбы и морепродуктов,450 с,https://nambafood.kg/dish_image/101329.png
Кальмары на жаровне,,Блюда из рыбы и морепродуктов,440 с,https://nambafood.kg/dish_image/101330.png
"Жареные креветки на огне 0,7",,Блюда из рыбы и морепродуктов,900 с,https://nambafood.kg/dish_image/101331.png
Жареные креветки на огне,,Блюда из рыбы и морепродуктов,1200 с,https://nambafood.kg/dish_image/101332.png
Филе рыбы на жаровне,,Блюда из рыбы и морепродуктов,320 с,https://nambafood.kg/dish_image/101561.png
Креветки очищенные с овощами,,Блюда из рыбы и морепродуктов,480 с,https://nambafood.kg/dish_image/101334.png
Запечённая рыба на огне,,Блюда из рыбы и морепродуктов,950 с,https://nambafood.kg/dish_image/101335.png
Креветки с фунчозой в горшочке,,Блюда из рыбы и морепродуктов,580 с,https://nambafood.kg/dish_image/101336.png
Судак в кисло-остром соусе в виде винограда,,Блюда из рыбы и морепродуктов,580 с,https://nambafood.kg/dish_image/101337.png
Тушёная рыба,,Блюда из рыбы и морепродуктов,980 с,https://nambafood.kg/dish_image/101338.png
Живая рыба в остром бульоне,,Блюда из рыбы и морепродуктов,780 с,https://nambafood.kg/dish_image/101339.png
Живая рыба на пару,,Блюда из рыбы и морепродуктов,780 с,https://nambafood.kg/dish_image/101340.png
Кальмары с овощами под соусом,,Блюда из рыбы и морепродуктов,480 с,https://nambafood.kg/dish_image/101341.png
Филе куриное в кисло-остром соусе,,Блюда из птицы,320 с,https://nambafood.kg/dish_image/101350.png
Филе куриное в кисло-сладком соусе,,Блюда из птицы,320 с,https://nambafood.kg/dish_image/101351.png
Жареный жусай с утиной кровью,,Блюда из птицы,260 с,https://nambafood.kg/dish_image/101352.png
Маосюэван,(блюдо на основе утиной крови),Блюда из птицы,620 с,https://nambafood.kg/dish_image/101353.png
Дапанджи,,Блюда из птицы,480 с,https://nambafood.kg/dish_image/101354.png
Филе куриное с арахисом и овощами,,Блюда из птицы,350 с,https://nambafood.kg/dish_image/101355.png
Филе куриное с бобами,,Блюда из птицы,350 с,https://nambafood.kg/dish_image/101356.png
Курица с кари на жаровне,,Блюда из птицы,300 с,https://nambafood.kg/dish_image/101357.png
Курица с перцем,,Блюда из птицы,380 с,https://nambafood.kg/dish_image/101358.png
Кусочки курицы с перцем в пряно-остром соусе,,Блюда из птицы,330 с,https://nambafood.kg/dish_image/101359.png
Куриные внутренности в кисло-остром соусе,,Блюда из птицы,300 с,https://nambafood.kg/dish_image/101360.png
Курица на огне,,Блюда из птицы,480 с,https://nambafood.kg/dish_image/101361.png
Жареная курица с острым перцем,,Блюда из птицы,380 с,https://nambafood.kg/dish_image/101362.png
Говяжьи внутренности на огне,,Блюда из говядины,380 с,https://nambafood.kg/dish_image/101363.png
Говядина в остром бульоне,,Блюда из говядины,480 с,https://nambafood.kg/dish_image/101364.png
Говядина на жаровне,,Блюда из говядины,320 с,https://nambafood.kg/dish_image/101365.png
"Доуфу с говядиной, грибами и креветками в горшочке",,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101366.png
Говядина с сельдереем,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101367.png
Говядина с острым перцем,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101368.png
Говядина с маринованным перцем,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101369.png
Говядина по-монгольски,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101370.png
Говядина с черными грибами,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101371.png
Говядина со стрелками чеснока,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101562.png
Говядина с огурцами,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101373.png
Говядина с овощами,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101374.png
Шашлык из говядины,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101375.png
Говядина с грибами,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101376.png
Требуха с капустой и фунчозой,,Блюда из говядины,380 с,https://nambafood.kg/dish_image/101377.png
Говядина с зелёным перцем на жаровне,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101378.png
Говядина с черным перцем на жаровне,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101381.png
Требуха с кинзой,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101563.png
Говядина в сладко-остром соусе,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101382.png
Говядина с капустой и фунчозой,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101384.png
Говядина с луком и имбирём,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101385.png
Говяжьи внутренности с маринованным перцем,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101386.png
Говядина с грибами на огне,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101388.png
Говядина со спаржей,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101389.png
Жареная говядина с картофелем,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101390.png
Говядина в кисло-сладком соусе,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101391.png
Жареная говядина соломкой,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101392.png
Тушёная говядина,,Блюда из говядины,480 с,https://nambafood.kg/dish_image/101393.png
Говядина с перцем,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101394.png
Требуха с красным перцем,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101395.png
Требуха с сельдереем,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101396.png
Говяжья печень с маринованным перцем,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101397.png
Говядина со шпинатом в соусе,,Блюда из говядины,380 с,https://nambafood.kg/dish_image/101398.png
Говядина соломкой с машем,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101400.png
Говядина с острым зелёным перцем,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101401.png
Говядина с маринованными овощами,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101604.png
Говядина с бобами,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101603.png
Тушёные говяжьи фрикадельки,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101605.png
Мясо с доуфу,,Блюда из говядины,360 с,https://nambafood.kg/dish_image/101405.png
Хрустящие бараньи ребрышки,,Блюда из баранины,680 с,https://nambafood.kg/dish_image/101407.png
Баранина с тмином,,Блюда из баранины,360 с,https://nambafood.kg/dish_image/101408.png
Баранина с луком,,Блюда из баранины,360 с,https://nambafood.kg/dish_image/101564.png
Жареная баранина с красным перцем и сельдереем,,Блюда из баранины,360 с,https://nambafood.kg/dish_image/101410.png
