Наименование,Описание,Категория,Цена,Фото
(А1) Отварная говядина,250 гр,Салаты,310 с,https://nambafood.kg/dish_image/140310.png
(А2) Говяжий язык с чесноком,250 гр,Салаты,330 с,https://nambafood.kg/dish_image/140315.png
(А3) Жареная мойва,250 гр,Салаты,210 с,https://nambafood.kg/dish_image/85473.png
(А4) Говядина с огурцами,250 гр,Салаты,330 с,https://nambafood.kg/dish_image/140312.png
(А6) Говядина острая,250 гр,Салаты,310 с,https://nambafood.kg/dish_image/140313.png
(А7) Домашняя курица в остром соусе,1 порция,Салаты,750 с,https://nambafood.kg/dish_image/140316.png
(А8) Требуха в красном масле,250 гр,Салаты,215 с,https://nambafood.kg/dish_image/140317.png
(А10) Вешенки в кляре,250 гр,Салаты,220 с,https://nambafood.kg/dish_image/140318.png
(А11) Вешенки с копчеными окороками,250 гр,Салаты,230 с,https://nambafood.kg/dish_image/140319.png
(А12) Курица с фунчезой,250 гр,Салаты,210 с,https://nambafood.kg/dish_image/140320.png
(А13) Копченое яйцо с перцем,250 гр,Салаты,210 с,https://nambafood.kg/dish_image/140321.png
(А14) Огурцы с чесноком,250 гр,Салаты,180 с,https://nambafood.kg/dish_image/140322.png
(А16) Салат из морской капусты,250 гр,Салаты,175 с,https://nambafood.kg/dish_image/140324.png
(А17) Свежий помидор c огурцами,250 гр,Салаты,170 с,https://nambafood.kg/dish_image/142312.png
(А18) Жареный арахис,250 гр,Салаты,150 с,https://nambafood.kg/dish_image/140325.png
(А19) Спаржа острая,250 гр,Салаты,170 с,https://nambafood.kg/dish_image/55774.png
(А20) Спаржа с арахисом,250 гр,Салаты,175 с,https://nambafood.kg/dish_image/140326.png
(А21) Лохуцей,250 гр,Салаты,175 с,https://nambafood.kg/dish_image/140327.png
(А22) Салат из фунчезы,250 гр,Салаты,170 с,https://nambafood.kg/dish_image/142235.png
(А23) Черная фунчеза со шпинатом,250 гр,Салаты,220 с,https://nambafood.kg/dish_image/142236.png
(А24) Салат из шпината с чесноком,250 гр,Салаты,225 с,https://nambafood.kg/dish_image/142237.png
(А25) Цветная капуста в кляре,250 гр,Салаты,220 с,https://nambafood.kg/dish_image/140328.png
(А26) Жареный тофу в соевом соусе,250 гр,Салаты,175 с,https://nambafood.kg/dish_image/140329.png
(А27) Тофу с зеленым луком,250 гр,Салаты,175 с,https://nambafood.kg/dish_image/140330.png
(А28) Курица с древесными грибами муар,250 гр,Салаты,250 с,https://nambafood.kg/dish_image/140331.png
(А29) Маш в кисло-остром соусе,250 гр,Салаты,165 с,https://nambafood.kg/dish_image/142238.png
(А30) Острые огурцы,250 гр,Салаты,175 с,https://nambafood.kg/dish_image/140311.png
(А32) Салат баклажаны с чесноком,250 гр,Салаты,270 с,https://nambafood.kg/dish_image/140332.png
(А33) Копченое яйцо с тофу,250 гр,Салаты,220 с,https://nambafood.kg/dish_image/140333.png
(А34) Салат брокколи с чесноком,250 гр,Салаты,225 с,https://nambafood.kg/dish_image/140334.png
(А36) Арахис в кислом соусе с хуажо,250 гр,Салаты,190 с,https://nambafood.kg/dish_image/140335.png
(А37) Салат из древесных грибов со спаржей,,Салаты,190 с,https://nambafood.kg/dish_image/140336.png
"(A38) Цыплёнок по Сычуански 0,5 порции",,Салаты,385 с,https://nambafood.kg/dish_image/142412.png
(В1) Говядина с перцем,350 гр,Блюда из говядины,370 с,https://nambafood.kg/dish_image/140337.png
(В2) Говядина с острым перцем,350 гр,Блюда из говядины,370 с,https://nambafood.kg/dish_image/140338.png
(В3) Говядина в кисло-сладком соусе,350 гр,Блюда из говядины,370 с,https://nambafood.kg/dish_image/142313.png
(В4) Говядина в кисло-остром соусе,350 гр,Блюда из говядины,370 с,https://nambafood.kg/dish_image/142314.png
(В5) Говядина соломкой в соевом соусе с лепешкой,350 гр,Блюда из говядины,370 с,https://nambafood.kg/dish_image/142315.png
(В6) Жареная требуха,350 гр,Блюда из говядины,340 с,https://nambafood.kg/dish_image/142316.png
"(В7) Отварная говядина, обжаренная с овощами с лепешкой",350 гр,Блюда из говядины,385 с,https://nambafood.kg/dish_image/142317.png
