Наименование,Описание,Категория,Цена,Фото
Омлет,250 гр.,Завтрак,230 с,https://nambafood.kg/dish_image/71375.png
Яйца с овощами,250 гр.,Завтрак,270 с,https://nambafood.kg/dish_image/71379.png
Яйца с колбасой,250 гр.,Завтрак,290 с,https://nambafood.kg/dish_image/71377.png
Сырные трубочки,200 гр.,Завтрак,180 с,https://nambafood.kg/dish_image/71376.png
Турецкий завтрак,400 гр.,Завтрак,380 с,https://nambafood.kg/dish_image/71378.png
Мержимек,400 гр.,Супы,170 с,https://nambafood.kg/dish_image/71384.png
Йайла,400 гр.,Супы,170 с,https://nambafood.kg/dish_image/71385.png
Суп из требухи,400 гр.,Супы,180 с,https://nambafood.kg/dish_image/71383.png
Кале пача,400 гр.,Супы,290 с,https://nambafood.kg/dish_image/71380.png
Оливье,180 гр.,Салаты,180 с,https://nambafood.kg/dish_image/71393.png
Салат с сыром,180 гр.,Салаты,190 с,https://nambafood.kg/dish_image/71394.png
Куриный салат,180 гр.,Салаты,180 с,https://nambafood.kg/dish_image/71396.png
Свежий салат,180 гр.,Салаты,190 с,https://nambafood.kg/dish_image/71397.png
Салат Пекинский,180 гр.,Салаты,250 с,https://nambafood.kg/dish_image/71387.png
Салат с баклажанами,180 гр.,Салаты,210 с,https://nambafood.kg/dish_image/71388.png
Яичный салат,180 гр.,Салаты,180 с,https://nambafood.kg/dish_image/71389.png
Салат с грибами,180 гр.,Салаты,180 с,https://nambafood.kg/dish_image/71390.png
Турецкая окрошка,180 гр.,Салаты,170 с,https://nambafood.kg/dish_image/71391.png
Сузме со специями,180 гр.,Салаты,170 с,https://nambafood.kg/dish_image/71392.png
Сузмо,180 гр.,Салаты,170 с,https://nambafood.kg/dish_image/71395.png
Салат эзме,180 гр.,Салаты,180 с,https://nambafood.kg/dish_image/71386.png
Фасолевый суп,300 гр.,Блюда из баранины,340 с,https://nambafood.kg/dish_image/71399.png
Мясо с овощами,300 гр.,Блюда из говядины,390 с,https://nambafood.kg/dish_image/71404.png
Мясо с баклажанами,300 гр.,Блюда из говядины,400 с,https://nambafood.kg/image_by_id/71481
Турецкая жаровня,250 гр.,Блюда из говядины,480 с,https://nambafood.kg/dish_image/71410.png
Гамбургер с курицей,200 гр.,Блюда из курицы,210 с,https://nambafood.kg/dish_image/71431.png
Искендер кебаб,400 гр.,Нарезное мясо (до 20:00),470 с,https://nambafood.kg/dish_image/71427.png
Донер,320 гр.,Нарезное мясо (до 20:00),460 с,https://nambafood.kg/dish_image/71436.png
Донер с рисом,350 гр.,Нарезное мясо (до 20:00),470 с,https://nambafood.kg/dish_image/71437.png
Арабская шаурма,340 гр.,Нарезное мясо (до 20:00),420 с,https://nambafood.kg/dish_image/71438.png
Ассорти гамбургер,230 гр.,Нарезное мясо (до 20:00),240 с,https://nambafood.kg/dish_image/71429.png
Ассорти шаурма,290 гр.,Нарезное мясо (до 20:00),270 с,https://nambafood.kg/dish_image/71432.png
Шаурма с курицей,240 гр.,Нарезное мясо (до 20:00),230 с,https://nambafood.kg/dish_image/71433.png
Хлеб 1 порция,,Хлеб,40 с,https://nambafood.kg/dish_image/89153.png
Фри,120 гр.,Донер,150 с,https://nambafood.kg/dish_image/71440.png
Турецкий рис,150 гр.,Донер,120 с,https://nambafood.kg/dish_image/71425.png
Рис,150 гр.,Донер,120 с,https://nambafood.kg/dish_image/71426.png
Гамбургер с мясом,200 гр.,Донер,210 с,https://nambafood.kg/dish_image/71428.png
Двойной гамбургер,230 гр.,Донер,240 с,https://nambafood.kg/dish_image/71430.png
Двойная шаурма,280 гр.,Донер,280 с,https://nambafood.kg/dish_image/71434.png
Шаурма с мясом,240 гр.,Донер,230 с,https://nambafood.kg/dish_image/71435.png
Адана кебаб,210 гр.,Гриль,400 с,https://nambafood.kg/dish_image/71448.png
Урфа кебаб,210 гр.,Гриль,400 с,https://nambafood.kg/dish_image/71452.png
Кебаб с баклажаном,250 гр.,Гриль,500 с,https://nambafood.kg/dish_image/71453.png
Ассорти шашлыков,300 гр.,Гриль,570 с,https://nambafood.kg/dish_image/71454.png
Бейти,350 гр.,Гриль,420 с,https://nambafood.kg/dish_image/71455.png
Печень на мангале,220 гр.,Гриль,400 с,https://nambafood.kg/dish_image/71456.png
Мясо на шпашках,220 гр.,Гриль,440 с,https://nambafood.kg/dish_image/71457.png
Котлеты на мангале,300 гр.,Гриль,400 с,https://nambafood.kg/dish_image/71458.png
Бараньи ребрышки,250 гр.,Гриль,500 с,https://nambafood.kg/dish_image/71442.png
Шашлык из баранины,250 гр.,Гриль,470 с,https://nambafood.kg/dish_image/71443.png
Альназик,250 гр.,Гриль,430 с,https://nambafood.kg/dish_image/71444.png
Крылышки на мангале,250 гр.,Гриль,410 с,https://nambafood.kg/dish_image/71445.png
Куриное филе,250 гр.,Гриль,410 с,https://nambafood.kg/dish_image/71446.png
Адана дурум,220 гр.,Гриль,410 с,https://nambafood.kg/dish_image/71447.png
Рыба на мангале форель,300 гр.,Гриль,620 с,https://nambafood.kg/dish_image/71441.png
"Фирменный ассорти шашлык ""Хузур"" 0,5","0,5",Гриль,2450 с,https://nambafood.kg/dish_image/71449.png
"Фирменный ассорти шашлык ""Хузур"" 0,7","0,7",Гриль,4950 с,https://nambafood.kg/dish_image/71450.png
"Фирменный ассорти шашлык ""Хузур"" 1 кг",1 кг.,Гриль,7450 с,https://nambafood.kg/dish_image/71451.png
Ассорти пиде,260 гр.,Пиде,410 с,https://nambafood.kg/dish_image/71462.png
Пиде с фаршем,240 гр.,Пиде,380 с,https://nambafood.kg/dish_image/71464.png
Пиде с мясом,240 гр.,Пиде,400 с,https://nambafood.kg/dish_image/71459.png
Пиде с сыром,240 гр.,Пиде,370 с,https://nambafood.kg/dish_image/71460.png
Лахмаджун,250 гр.,Пиде,380 с,https://nambafood.kg/dish_image/71461.png
Лаваш,150 гр.,Пиде,140 с,https://nambafood.kg/dish_image/71463.png
Фирменная пицца,480 гр.,Пицца,530 с,https://nambafood.kg/dish_image/71470.png
Мексиканская пицца,360 гр.,Пицца,470 с,https://nambafood.kg/dish_image/71471.png
Маргарита,340 гр.,Пицца,460 с,https://nambafood.kg/dish_image/71472.png
Пицца с мясом,460 гр.,Пицца,490 с,https://nambafood.kg/dish_image/71473.png
Диетическая пицца,340 гр.,Пицца,440 с,https://nambafood.kg/dish_image/71474.png
Овощная пицца,350 гр.,Пицца,450 с,https://nambafood.kg/dish_image/71465.png
Куриная пицца,400 гр.,Пицца,450 с,https://nambafood.kg/dish_image/71466.png
