Наименование,Описание,Категория,Цена,Фото
Яичница,3 шт.,Завтраки,110 с,https://nambafood.kg/dish_image/128704.png
Каша овсяная,,Завтраки,120 с,https://nambafood.kg/dish_image/129146.png
Каша рисовая,,Завтраки,120 с,https://nambafood.kg/dish_image/128705.png
Каша манная,,Завтраки,120 с,https://nambafood.kg/dish_image/129147.png
Каша гречневая,1 порция,Завтраки,120 с,https://nambafood.kg/dish_image/129148.png
Блины с мясом,3 шт.,Блины,150 с,https://nambafood.kg/dish_image/129143.png
Блины с творогом,3 шт.,Блины,150 с,https://nambafood.kg/dish_image/128714.png
Блины со сметаной,3 шт.,Блины,130 с,https://nambafood.kg/dish_image/129136.png
Мясное ассорти,"250 г. Язык отварной, телятина шпигованная, утиная грудка копченая, чучук.",Холодные закуски,750 с,https://nambafood.kg/dish_image/129149.png
Рыбное ассорти,"200 г. Семга соленая, семга копченая, эсколар копченый, икра.",Холодные закуски,760 с,https://nambafood.kg/dish_image/129133.png
Сырная тарелка,250 г,Холодные закуски,350 с,https://nambafood.kg/dish_image/129164.png
Кавказская закуска,"400 г. Брынза, огурцы, помидоры, перец болгарский, маслины, зелень.",Холодные закуски,400 с,https://nambafood.kg/dish_image/129107.png
Сельдь по-русски,"250 г. Сельдь, огурцы соленые, картофель отварной, лук маринованный.",Холодные закуски,310 с,https://nambafood.kg/dish_image/129098.png
Ассорти из солений,"300 г. Черри маринованные, огурцы соленые, патиссоны, квашеная капуста.",Холодные закуски,380 с,https://nambafood.kg/dish_image/129102.png
Сузьма,180 г,Холодные закуски,160 с,https://nambafood.kg/dish_image/129145.png
Алатские самсы с мясом,1 шт.,Горячие закуски,80 с,https://nambafood.kg/dish_image/129100.png
Алатские самсы с сыром и зеленью,1 шт.,Горячие закуски,80 с,https://nambafood.kg/dish_image/129099.png
Самсы с мясом,1 шт.,Горячие закуски,80 с,https://nambafood.kg/dish_image/129126.png
Самсы с курицей,1 шт.,Горячие закуски,75 с,https://nambafood.kg/dish_image/129125.png
Чебурек,1 шт.,Горячие закуски,120 с,https://nambafood.kg/dish_image/129134.png
Боорсок с каймаком,1 порция,Горячие закуски,95 с,https://nambafood.kg/dish_image/129137.png
Боорсок  1 кг.,,Горячие закуски,260 с,https://nambafood.kg/dish_image/129138.png
Лепешка пшеничная,1 шт,Горячие закуски,45 с,https://nambafood.kg/dish_image/129139.png
Лепешка ржаная,1 шт,Горячие закуски,45 с,https://nambafood.kg/dish_image/129140.png
Шакарап,180 г,Салаты,160 с,https://nambafood.kg/dish_image/129153.png
Витаминка,180 г,Салаты,190 с,https://nambafood.kg/dish_image/129156.png
Свежий салат,180 г,Салаты,160 с,https://nambafood.kg/dish_image/129155.png
Салат «Летний»,"Капуста белокочанная, огурцы, помидоры, дрессинг",Салаты,200 с,https://nambafood.kg/dish_image/141883.png
Салат морковный с жусаем,"Морковь, жусай, масло пряное, специи",Салаты,160 с,https://nambafood.kg/dish_image/141884.png
Оливье,180 г,Салаты,210 с,https://nambafood.kg/dish_image/129159.png
Греческий салат,230 г,Салаты,290 с,https://nambafood.kg/dish_image/129154.png
Зеленый салат с грушей,"груша, айсберг, руккола, крага, грецкий орех, сыр дорблю, дрессинг",Салаты,290 с,https://nambafood.kg/dish_image/141885.png
Салат с козьим сыром,"Козий сыр, микс трав, изюм, курага, грецкий орех, гранатовый соус",Салаты,290 с,https://nambafood.kg/dish_image/141886.png
Теплый салат с кониной,250 г,Салаты,380 с,https://nambafood.kg/dish_image/129169.png
Хрустящие баклажаны,"Баклажаны, чили, кинза, кунжут",Салаты,380 с,https://nambafood.kg/dish_image/141887.png
Жареные баклажаны с перцем,280 г,Салаты,350 с,https://nambafood.kg/dish_image/129157.png
Малибу,280 г,Салаты,280 с,https://nambafood.kg/dish_image/129167.png
Битые огурчики,"Огурцы, перец чили. заправляется пряным маслом",Салаты,200 с,https://nambafood.kg/dish_image/141889.png
Салат со шпинатом и пармезаном,180 г,Салаты,290 с,https://nambafood.kg/dish_image/141890.png
Салат из брокколи с куриной грудкой,,Салаты,290 с,https://nambafood.kg/dish_image/141891.png
Салат «Ташкент»,"Дайкон, говядина, перец, масло пряное",Салаты,230 с,https://nambafood.kg/dish_image/141892.png
Мужской каприз,"Дайкон, говядина, вешенки, лук, яйцо, мацонез",Салаты,280 с,https://nambafood.kg/dish_image/141893.png
Салат «Сан Лео»,350 г,Салаты,400 с,https://nambafood.kg/dish_image/129209.png
Цезарь с курицей,230 г,Салаты,350 с,https://nambafood.kg/dish_image/129193.png
Цезарь с семгой,230 г,Салаты,400 с,https://nambafood.kg/dish_image/129194.png
Язык в кисло-остром соусе,180 г,Салаты,380 с,https://nambafood.kg/dish_image/129158.png
Азиатский салат,180 г,Салаты,310 с,https://nambafood.kg/dish_image/129195.png
Куурдак из баранины,400 г,Восточные блюда,500 с,https://nambafood.kg/dish_image/129141.png
Куурдак из говядины,400 г,Восточные блюда,500 с,https://nambafood.kg/dish_image/129142.png
Жаровня из говядины,300 г,Восточные блюда,380 с,https://nambafood.kg/dish_image/129131.png
Жаровня из курицы,300 г,Восточные блюда,360 с,https://nambafood.kg/dish_image/129120.png
Жаровня из форели,300 г,Восточные блюда,380 с,https://nambafood.kg/dish_image/129144.png
Лагман жидкий,400 г,Восточные блюда,250 с,https://nambafood.kg/dish_image/129101.png
Гюро лагман,400 г,Восточные блюда,270 с,https://nambafood.kg/dish_image/129109.png
Босо лагман,400 г,Восточные блюда,280 с,https://nambafood.kg/dish_image/129104.png
Гюро ганфан,400 г,Восточные блюда,260 с,https://nambafood.kg/dish_image/129115.png
Мушуро из говядины,320 г,Восточные блюда,340 с,https://nambafood.kg/dish_image/129114.png
Жареная фунчоза с мясом,"Говядина, фунчоза, перец болгарский, устричная паста, соевый соус",Восточные блюда,300 с,https://nambafood.kg/dish_image/141907.png
Манты с мясом,5 шт.,Восточные блюда,230 с,https://nambafood.kg/dish_image/129121.png
Манты с мясом жареные,5 шт.,Восточные блюда,250 с,https://nambafood.kg/dish_image/129130.png
Бешбармак с говядиной и чучуком,300 г,Восточные блюда,350 с,https://nambafood.kg/dish_image/129110.png
Бешбармак с кониной и чучуком,300 г,Восточные блюда,350 с,https://nambafood.kg/dish_image/129111.png
Курица в кисло-сладком соусе,330 г,Восточные блюда,320 с,https://nambafood.kg/dish_image/129150.png
Рыба в кисло-сладком соусе,330 г,Восточные блюда,370 с,https://nambafood.kg/dish_image/129151.png
Наваристое шорпо,350 г,Супы,210 с,https://nambafood.kg/dish_image/129105.png
