Наименование,Описание,Категория,Цена,Фото
Боорсоки 200 г,,Выпечка,90 с,https://nambafood.kg/dish_image/101059.png
Лепешка,1 шт.,Выпечка,55 с,https://nambafood.kg/dish_image/101055.png
Самса с мясом,100 г,Выпечка,90 с,https://nambafood.kg/dish_image/107206.png
Самса с курицей,100 г,Выпечка,80 с,https://nambafood.kg/dish_image/101057.png
Самса с курицей и сыром,100 г,Выпечка,80 с,https://nambafood.kg/dish_image/119859.png
Чебуреки,3 шт. Мини чебуреки с яйцом и зеленью джусай.,Выпечка,165 с,https://nambafood.kg/dish_image/101058.png
Чебуреки с курицей и сыром,3 шт.,Выпечка,195 с,https://nambafood.kg/dish_image/119851.png
Чебуреки с курицей,3 шт.,Выпечка,190 с,https://nambafood.kg/dish_image/119853.png
Боорсок 1 кг.,,Выпечка,320 с,https://nambafood.kg/dish_image/101060.png
Каймак,50 г,Выпечка,65 с,https://nambafood.kg/dish_image/102109.png
ХанСамса Сырная,"750 г. Ингредиенты: ХанСамса из молочного  теста, начиненная ароматными сырами ДорБлю, Голландским, домашними сырами Сулугуни и Кашар.",Хан Самса,645 с,https://nambafood.kg/dish_image/101076.png
ХанСамса  Куриная,"800 г. Ингредиенты: ХанСамса из молочного теста с нежной начинкой из куриного филе, свежих томатов, репчатого лука, оливок, ароматного сыра и свежей зелени (тимьян, розмарин и базилик).",Хан Самса,725 с,https://nambafood.kg/dish_image/101072.png
ХанСамса Пепперони,"800 г. Ингредиенты: ХанСамса из молочного теста  и нежной сочной начинки из копченой колбасы (халал), свежих шампиньон, паприки, репчатого лука и томатов, маринованных корнишонов  и тремя видами сыра (Голландский, Кашар, домашний сулугуни).",Хан Самса,665 с,https://nambafood.kg/dish_image/101073.png
ХанСамса Мясная,"800 г. Ингредиенты: ХанСамса из молочного теста с сочной начинкой из телятины, свежих томатов, баклажан, паприки и грибов, с сырами домашним сулугуни и голландским, базиликом и розмарином.",Хан Самса,875 с,https://nambafood.kg/dish_image/101074.png
ХанСамса NAVAT (полуострая),"800 г. Ингредиенты: ХанСамса из молочного теста с насыщенной начинкой из нежной телячьей вырезки, маринованного перца халлапено, корнишонов и маслин, с голландским сыром и домашним сулугуни, со свежим базиликом, розмарином и тимьяном.",Хан Самса,875 с,https://nambafood.kg/dish_image/101075.png
Ассорти рыбное,"300 г. Эсколар, семга копченая, икра.",Закуски,960 с,https://nambafood.kg/dish_image/101078.png
Закуска Любимая,"300 г. Нежные рулетики из баклажана со сливочно-чесночным соусом,",Закуски,395 с,https://nambafood.kg/dish_image/57231.png
Ассорти национальное,"370 г. Нежное мясо с пикантным оттенком. Нарезка мясных деликатесов: отварной конины, казы, языка, копченого курдюка украшенные зеленью.",Закуски,980 с,https://nambafood.kg/dish_image/86699.png
Селедочка под водочку,380 г. Сочная соленная сельдь с нежным картофелем с хрустящим огурцами и маринованным луком.,Закуски,385 с,https://nambafood.kg/dish_image/101079.png
Ассорти солений,"550 г. Квашенная капуста, корнишоны, черри, грибы и патиссоны.",Закуски,495 с,https://nambafood.kg/dish_image/101080.png
Ассорти кавказское,"700 г. Огурцы, помидоры, брынза, зелень, паприка, стручковый перец, соус, лаваш.",Закуски,460 с,https://nambafood.kg/dish_image/56620.png
Закуска «Погребок»,310 г. Маринованные грибочки с репчатым луком и зеленью.,Закуски,440 с,https://nambafood.kg/dish_image/101081.png
Рулеты «Назик» с форелью,"350 г. Рулетики из армянского лаваша начиненные копченой семгой, свежими листьями салата, сырами брынза и виола.",Закуски,540 с,https://nambafood.kg/dish_image/57237.png
