Наименование,Описание,Категория,Цена,Фото
"Салат ""Греческий""","250гр. свежие помидоры, свежие огурцы, болгарский перец, листья салата, маслины, сыр ""Фетакса"",лук шалот, оливковое масло",Салаты,240 с,https://nambafood.kg/dish_image/46889.png
"Салат ""Шакарап""","150 гр. свежие помидоры, стручковый перец, репчатый лук, свежая кинза",Салаты,120 с,https://nambafood.kg/dish_image/23731.png
"Салат ""Дудляш""","200 гр. Обжаренные баклажаны, помидоры свежие, лук репчатый, болг.перец, чеснок, зелень",Салаты,200 с,https://nambafood.kg/dish_image/23738.png
Свежий салат,Маслом\Сметаной на выбор 150 гр.,Салаты,130 с,https://nambafood.kg/dish_image/23728.png
Восточный аромат,"200 гр. огурцы, помидоры, телятина, соевый соус, аджика, шампиньоны",Салаты,290 с,https://nambafood.kg/dish_image/45462.png
Свекла с сыром Филадельфия и кедровыми орешками,,Салаты,160 с,https://nambafood.kg/dish_image/45463.png
Салат из папоротника с мясом,,Салаты,400 с,https://nambafood.kg/dish_image/71727.png
Острый салат с фасолью и сыром тофу,,Салаты,170 с,https://nambafood.kg/dish_image/71729.png
Микс салат с курицей и кунжутной заправкой карри,,Салаты,230 с,https://nambafood.kg/dish_image/71730.png
Салат с телятиной и шпинатом,,Салаты,200 с,https://nambafood.kg/dish_image/46905.png
Китайский салат из огурцов в чесночном соусе,,Салаты,180 с,https://nambafood.kg/dish_image/29650.png
Китайский салат из древесных грибов,,Салаты,240 с,https://nambafood.kg/dish_image/46891.png
Салат баклажаны тай,,Салаты,180 с,https://nambafood.kg/dish_image/71736.png
Салат из бамбука с мясом,,Салаты,310 с,https://nambafood.kg/dish_image/71737.png
Теплый салат с семгой и овощами гриль,,Салаты,290 с,https://nambafood.kg/dish_image/76693.png
Цезарь с курицей,"230 гр. филе курин. салат «Айсберг», сыр ""Пармезан"", соус ""Цезарь"", помидоры  черри",Салаты,300 с,https://nambafood.kg/dish_image/23739.png
Цезарь с креветками,"230 гр. креветки тигровые, салат ""Айсберг"", сыр ""Пармезан"", соус ""Цезарь"", лимон",Салаты,450 с,https://nambafood.kg/dish_image/23735.png
Цезарь с семгой,,Салаты,320 с,https://nambafood.kg/dish_image/71752.png
Брокколи с чесноком,,Салаты,180 с,https://nambafood.kg/dish_image/46887.png
Спринг роллы с овощами,,Горячие закуски,280 с,https://nambafood.kg/dish_image/29665.png
Алатская самса 1шт,1 шт.,Горячие закуски,60 с,https://nambafood.kg/dish_image/45465.png
Чебуреки с мясом,1 шт.,Горячие закуски,100 с,https://nambafood.kg/dish_image/45466.png
Чебуреки с сыром и зеленью,1 шт.,Горячие закуски,100 с,https://nambafood.kg/dish_image/45467.png
