Наименование,Описание,Категория,Цена,Фото
Свежий салат,"250 г. Помидоры, огурцы, лук, болгарский перец, зелень, специи, масло растительное.",Салаты,200 с,https://nambafood.kg/dish_image/83333.png
Сузьма,150 г,Салаты,120 с,https://nambafood.kg/dish_image/72568.png
Шакарап,"250 г. Помидоры, лук, специи, масло растительное.",Салаты,200 с,https://nambafood.kg/dish_image/72552.png
Греческий салат,"250 г. Помидоры, огурцы, лист салата, сыр фетакса, маслины, специи, масло растительное.",Салаты,300 с,https://nambafood.kg/dish_image/104622.png
Гнездо глухаря,"250 г. Курица отварная, огурцы, омлет, лук, огурцы, картофель пай, зелень.",Салаты,300 с,https://nambafood.kg/dish_image/72561.png
Салат «Обжорка»,"250 г.Телятина, сыр, яйцо, помидоры, майонез.",Салаты,330 с,https://nambafood.kg/dish_image/104641.png
Фунчеза,"250 г. Черная фунчоза, мясо, перец, чеснок, морковь, специи, соевый соус.",Салаты,300 с,https://nambafood.kg/dish_image/104615.png
Восточный салат,"250 г. Отварной язык, огурец, помидоры, чеснок, соевый соус, перец болгарский.",Салаты,345 с,https://nambafood.kg/dish_image/104602.png
Шпинат с рыбой,"250 г. Шпинат, судак, черри, сыр, оливковое масло, чеснок, фирменный соус.",Салаты,380 с,https://nambafood.kg/dish_image/104596.png
Китайский салат,"250 г. Говядина отварная, огурцы, перец, чеснок, стручковый перец, соевый соус, зелень.",Салаты,355 с,https://nambafood.kg/dish_image/104630.png
Хе грибной,"250 г. Шампиньоны, помидоры, перец болгарский, огурцы, уксус, фирменная заправка.",Салаты,330 с,https://nambafood.kg/dish_image/104598.png
Салат «Тбилиси»,"250 г. Отварная говядина, фасоль, лук, чеснок, грецкий орех, зелень, специи, оливковое масло.",Салаты,325 с,https://nambafood.kg/dish_image/72567.png
Салат с ананасом,"250 г. Ананас, крабовые палочки, яйцо, сыр, кукуруза, майонез, зелень.",Салаты,290 с,https://nambafood.kg/dish_image/104594.png
Столичный салат,"250 г. Телятина, картофель, маринованные огурцы, яйцо, зеленый горошек, майонез.",Салаты,380 с,https://nambafood.kg/dish_image/111596.png
Лесная поляна,"250 г. Изумительное сочетание майонеза с копченой курицей, картошечкой, маринованными огурчиками, грибами вешенками и опятами.",Салаты,320 с,https://nambafood.kg/dish_image/104631.png
Салат «Муэр»,"250 г. Отварная говядина, огурцы, грибы, соевый соус, чеснок, зелень, перец, специи.",Салаты,335 с,https://nambafood.kg/dish_image/83335.png
Баклажановый салат,"250 г. Баклажаны, лук, перец болгарский, помидоры, мясо говядина, зелень, специи.",Салаты,345 с,https://nambafood.kg/dish_image/104627.png
Цезарь с курицей,"250 г. Лист салата, куриная грудка, помидоры, сыр пармезан, соус цезарь.",Салаты,395 с,https://nambafood.kg/dish_image/104642.png
Цезарь с креветками,"300 г. Лист салата, креветки, сыр пармезан, черри, соус цезарь.",Салаты,450 с,https://nambafood.kg/dish_image/104643.png
Цезарь с семгой,"250 г. Лист салата, рыба семга, помидоры, сыр пармезан, соус цезарь.",Салаты,450 с,https://nambafood.kg/dish_image/104644.png
Сельдь под шубой,250 г,Салаты,290 с,https://nambafood.kg/dish_image/104540.png
Мужской каприз,"250 г. Говяжий язык, перец болгарский, помидоры, огурцы соленые, лук, яйцо, майонез, зелень, специи.",Салаты,345 с,https://nambafood.kg/dish_image/104603.png
Винегрет,250 г,Салаты,240 с,https://nambafood.kg/dish_image/104542.png
Салат «Океан»,"250 г. Семга копченая, крабовые палочки, свежие огурцы, яйцо, икра красная, зеленый  горошек, майонез, чипсы.",Салаты,295 с,https://nambafood.kg/dish_image/104626.png
Салат «Вулкан»,300 г. Нежно обжаренная телятина в сливочном масле с добавлением овощей подается в теплом виде с необычными добавками специи.,Салаты,365 с,https://nambafood.kg/dish_image/104595.png
Хрустящие баклажаны в кисло сладком соусе,,Салаты,355 с,https://nambafood.kg/dish_image/132588.png
Мясное ассорти,"350 г. Куриный рулет, язык, утиный рулет, мясной рулет.",Холодные закуски,800 с,https://nambafood.kg/dish_image/104628.png
Закуска по-русски,"350 г. Сельдь, отварной картофель, соленые огурцы, лимон, лук, зелень.",Холодные закуски,420 с,https://nambafood.kg/dish_image/104629.png
Погребок,"350 г. Патиссоны, корнишоны, черри, квашенная капуста, зелень, вешенки маринованные.",Холодные закуски,365 с,https://nambafood.kg/dish_image/104637.png
Рыбное ассорти,"400 г. Семга, эсколар, форель, лимон, икра красная, оливки.",Холодные закуски,1100 с,https://nambafood.kg/dish_image/72572.png
