Наименование,Описание,Категория,Цена,Фото
4 сезона 40 см,"Пицца соус, сыр моцарелла, салями, ветчина с грибами, копченое куриное филе, помидоры.",Большая пицца,630 с,https://nambafood.kg/dish_image/91437.png
Пепперони 40 см,"Пицца соус, сыр моцарелла, салями.",Большая пицца,570 с,https://nambafood.kg/dish_image/38394.png
Пепперони с Грибами 40 см,"Пицца-соус, сыр ""моцарелла"", салями, шампиньоны.",Большая пицца,600 с,https://nambafood.kg/dish_image/127715.png
Двойная Пепперони 40 см,"Пицца соус, сыр моцарелла, салями.",Большая пицца,600 с,https://nambafood.kg/dish_image/91446.png
Крутая Цыпочка 40 см,"Пицца соус, моцарелла, цыпленок обжаренный в сливках, лук, черри, зелень.",Большая пицца,670 с,https://nambafood.kg/dish_image/91449.png
Половинки 40 см,Маргарита + Пепперони,Большая пицца,550 с,https://nambafood.kg/dish_image/71675.png
Маргарита 40 см,"Пицца соус, моцарелла, помидоры.",Большая пицца,470 с,https://nambafood.kg/dish_image/37910.png
Цыпленок Ранч 40 см,"Пицца соус, моцарелла, куриное филе, нежный панировочный лук, соус ранч.",Большая пицца,630 с,https://nambafood.kg/dish_image/91452.png
Московская 40 см,"Пицца соус, моцарелла, куриное филе, ветчина, водоросли нори, кунжут, соус терияки, зелень.",Большая пицца,630 с,https://nambafood.kg/dish_image/37918.png
Техасская 40 см,"Пицца соус, моцарелла, запеченное салями, красный лук, соус BBQ.",Большая пицца,630 с,https://nambafood.kg/dish_image/37864.png
Детская 40 см,"Пицца соус, моцарелла, сливочные сосиски, картофельное пюре, сладкая кукуруза.",Большая пицца,590 с,https://nambafood.kg/dish_image/37880.png
Шашлычная 40 см,"Пицца соус, моцарелла, куриное филе, маринованная говядина, маринованные огурчики, лук, кетчуп, зелень.",Большая пицца,630 с,https://nambafood.kg/dish_image/37860.png
Столичная 40 см,"Пицца соус, моцарелла, салями, ветчина говяжья, куриное филе, маринованные огурчики, майонез.",Большая пицца,630 с,https://nambafood.kg/dish_image/37871.png
Чибо вок 40 см,"Пицца соус, моцарелла, телятина, куриное филе, перец болгарский красный и зеленый, стручковая фасоль, китайская капуста, зелень.",Большая пицца,670 с,https://nambafood.kg/dish_image/37875.png
Чертовка 40 см,"Пицца соус, моцарелла, поджаренное салями, халапеньо.",Большая пицца,630 с,https://nambafood.kg/dish_image/38392.png
Атлантида 40 см,"Пицца соус, моцарелла, креветки салатные, лосось, перец болгарский красный и зеленый, оливки, кунжут, лимон.",Большая пицца,750 с,https://nambafood.kg/dish_image/37886.png
Мексиканская сальса 40 см,"ПИЦЦА-СОУС, СЫР ""МОЦАРЕЛЛА"",  КУРИНАЯ ГРУДКА, ГОВЯДИНА, ПЕРЕЦ БОЛГАРСКИЙ, ОСТРЫЕ ПЕРЧИКИ ХАЛАПЕНЬЮ, СОУС ""САЛЬСА"", ЗЕЛЕНЬ",Большая пицца,690 с,https://nambafood.kg/dish_image/37890.png
Джуниор 40 см,"Пицца соус, моцарелла, салями, картофель фри, сладкая кукуруза, кетчуп.",Большая пицца,590 с,https://nambafood.kg/dish_image/37922.png
Грибная 40 см,"Шампиньоны в сливочном соусе, моцарелла, зелень.",Большая пицца,590 с,https://nambafood.kg/dish_image/37926.png
Курица с грибами 40 см,"Пицца соус, моцарелла, куриная грудка, маринованные шампиньоны, соленые огурчики.",Большая пицца,630 с,https://nambafood.kg/dish_image/37930.png
Мясное ассорти 40 см,"Пицца соус моцарелла, говядина, куриная грудка, салями, ветчина говяжья.",Большая пицца,670 с,https://nambafood.kg/dish_image/37934.png
Вегетарианская 40 см,"Пицца соус, моцарелла, помидоры, шампиньоны маринованные, болгарский перец красный и зеленый, брокколи, стручковая фасоль, маслины, лук, зелень.",Большая пицца,640 с,https://nambafood.kg/dish_image/46338.png
Барбекью 40 см,"Пицца соус, моцарелла, куриное филе, ветчина, салями, соус BBQ, зелень.",Большая пицца,630 с,https://nambafood.kg/dish_image/37938.png
Четыре сыра 40 см,"Сливочный белый соус, моцарелла, дор блю, фетакса.",Большая пицца,670 с,https://nambafood.kg/dish_image/37942.png
Чикен хот 40 см,"Пицца соус, моцарелла, куриное филе, перец болгарский красный и зеленый, помидоры, острые перчики халапеньно, лук.",Большая пицца,670 с,https://nambafood.kg/dish_image/37954.png
Бьянко 40 см,"Сливочный белый соус, моцарелла.",Большая пицца,450 с,https://nambafood.kg/dish_image/37995.png
Гавайская 40 см,"Сливочный белый соус, моцарелла, куриное филе, ананасы, кунжут.",Большая пицца,630 с,https://nambafood.kg/dish_image/38015.png
4 сезона 32 см,"Пицца соус, моцарелла, салями, ветчина говяжья с грибами, куриное филе, помидоры.",Средняя пицца,480 с,https://nambafood.kg/dish_image/91438.png
Пепперони 32 см,"Пицца соус, сыр моцарелла, салями.",Средняя пицца,450 с,https://nambafood.kg/dish_image/38395.png
Пепперони с Грибами 32 см,"Пицца-соус, сыр ""моцарелла"", салями, шампиньоны.",Средняя пицца,480 с,https://nambafood.kg/dish_image/127724.png
Двойная Пепперони 32 см,"Пицца соус, сыр моцарелла, салями.",Средняя пицца,460 с,https://nambafood.kg/dish_image/91447.png
Крутая Цыпочка 32 см,"Пицца соус, моцарелла, цыпленок обжаренный в сливках, лук, черри, зелень.",Средняя пицца,510 с,https://nambafood.kg/dish_image/91450.png
Половинки 32 см,Маргарита + Пепперони,Средняя пицца,380 с,https://nambafood.kg/dish_image/71676.png
Маргарита 32 см,"Пицца соус, моцарелла, помидоры.",Средняя пицца,310 с,https://nambafood.kg/dish_image/37908.png
Цыпленок Ранч 32 см,"Пицца соус, моцарелла, куриное филе, нежный панировочный лук, соус ранч.",Средняя пицца,480 с,https://nambafood.kg/dish_image/91453.png
Московская 32 см,"Пицца соус, моцарелла, куриное филе, ветчина, водоросли нори, кунжут, соус терияки, зелень.",Средняя пицца,480 с,https://nambafood.kg/dish_image/37916.png
Техасская 32 см,"Пицца соус, моцарелла, запеченное салями, красный лук, соус BBQ.",Средняя пицца,480 с,https://nambafood.kg/dish_image/37862.png
Детская 32 см,"Пицца соус, моцарелла, сливочные сосиски, картофельное пюре, сладкая кукуруза.",Средняя пицца,460 с,https://nambafood.kg/dish_image/62903.png
Шашлычная 32 см,"Пицца соус, моцарелла, куриное филе, маринованная говядина, маринованные огурчики, лук, кетчуп, зелень.",Средняя пицца,480 с,https://nambafood.kg/dish_image/37858.png
Столичная 32 см,"Пицца соус, моцарелла, салями, ветчина говяжья, куриное филе, маринованные огурчики, майонез.",Средняя пицца,470 с,https://nambafood.kg/dish_image/37870.png
Чибо вок 32 см,"Пицца соус, моцарелла, телятина, куриное филе, перец болгарский красный и зеленый, стручковая фасоль, китайская капуста, зелень.",Средняя пицца,480 с,https://nambafood.kg/dish_image/37873.png
Чертовка 32 см,"Пицца соус, моцарелла, поджаренное салями, халапеньо.",Средняя пицца,480 с,https://nambafood.kg/dish_image/38393.png
Атлантида 32 см,"Пицца соус, моцарелла, креветки салатные, лосось, перец болгарский красный и зеленый, оливки, кунжут, лимон.",Средняя пицца,580 с,https://nambafood.kg/dish_image/37884.png
Мексиканская сальса 32 см.,"ПИЦЦА-СОУС, СЫР ""МОЦАРЕЛЛА"",  КУРИНАЯ ГРУДКА, ГОВЯДИНА, ПЕРЕЦ БОЛГАРСКИЙ, ОСТРЫЕ ПЕРЧИКИ ХАЛАПЕНЬЮ, СОУС ""САЛЬСА"", ЗЕЛЕНЬ",Средняя пицца,530 с,https://nambafood.kg/dish_image/37887.png
Джуниор 32 см,"Пицца соус, моцарелла, салями, картофель фри, сладкая кукуруза, кетчуп.",Средняя пицца,470 с,https://nambafood.kg/dish_image/37920.png
Грибная 32 см,"Шампиньоны в сливочном соусе, моцарелла, зелень.",Средняя пицца,430 с,https://nambafood.kg/dish_image/37924.png
Курица с грибами 32 см,"Пицца соус, моцарелла, куриная грудка, маринованные шампиньоны, соленые огурчики.",Средняя пицца,480 с,https://nambafood.kg/dish_image/37928.png
Мясное ассорти 32 см,"Пицца соус моцарелла, говядина, куриная грудка, салями, ветчина говяжья.",Средняя пицца,480 с,https://nambafood.kg/dish_image/37932.png
Вегетарианская 32 см,"Пицца соус, моцарелла, помидоры, шампиньоны маринованные, болгарский перец красный и зеленый, брокколи, стручковая фасоль, маслины, лук, зелень.",Средняя пицца,470 с,https://nambafood.kg/dish_image/46339.png
Барбекью 32 см,"Пицца соус, моцарелла, куриное филе, ветчина, салями, соус BBQ, зелень.",Средняя пицца,480 с,https://nambafood.kg/dish_image/37936.png
Четыре сыра 32 см,"Сливочный белый соус, моцарелла, дор блю, фетакса.",Средняя пицца,490 с,https://nambafood.kg/dish_image/37940.png
Чикен хот 32 см,"Пицца соус, моцарелла, куриное филе, перец болгарский красный и зеленый, помидоры, острые перчики халапеньно, лук.",Средняя пицца,480 с,https://nambafood.kg/dish_image/37952.png
Бьянко 32 см,"Сливочный белый соус, моцарелла.",Средняя пицца,290 с,https://nambafood.kg/dish_image/37956.png
Гавайская 32 см,"Сливочный белый соус, моцарелла, куриное филе, ананасы, кунжут.",Средняя пицца,480 с,https://nambafood.kg/dish_image/38013.png
4 сезона 27 см,"Пицца соус, сыр моцарелла, салями, ветчина с грибами, копченое куриное филе, помидоры.",Маленькая пицца,360 с,https://nambafood.kg/dish_image/91439.png
Пепперони 27 см,"Пицца соус, сыр моцарелла, салями.",Маленькая пицца,330 с,https://nambafood.kg/dish_image/46348.png
Пепперони с Грибами 27 см,"Пицца-соус, сыр ""моцарелла"", салями, шампиньоны.",Маленькая пицца,360 с,https://nambafood.kg/dish_image/127726.png
Двойная Пепперони 27 см,"Пицца соус, сыр моцарелла, салями.",Маленькая пицца,350 с,https://nambafood.kg/dish_image/91448.png
Крутая Цыпочка 27 см,"Пицца соус, моцарелла, цыпленок обжаренный в сливках, лук, черри, зелень.",Маленькая пицца,360 с,https://nambafood.kg/dish_image/91451.png
Половинки 27 см,Маргарита + Пепперони,Маленькая пицца,290 с,https://nambafood.kg/dish_image/71677.png
Маргарита 27 см,"Пицца соус, моцарелла, помидоры.",Маленькая пицца,250 с,https://nambafood.kg/dish_image/46354.png
Цыпленок Ранч 27 см,"Пицца соус, моцарелла, куриное филе, нежный панировочный лук, соус ранч.",Маленькая пицца,350 с,https://nambafood.kg/dish_image/91454.png
Московская 27 см,"Пицца соус, моцарелла, куриное филе, ветчина, водоросли нори, кунжут, соус терияки, зелень.",Маленькая пицца,350 с,https://nambafood.kg/dish_image/46356.png
Техасская 27 см,"Пицца соус, моцарелла, запеченное салями, красный лук, соус BBQ.",Маленькая пицца,350 с,https://nambafood.kg/dish_image/46342.png
Детская 27 см,"Пицца соус, моцарелла, сливочные сосиски, картофельное пюре, сладкая кукуруза.",Маленькая пицца,330 с,https://nambafood.kg/dish_image/46347.png
Шашлычная 27 см,"Пицца соус, моцарелла, куриное филе, маринованная говядина, маринованные огурчики, лук, кетчуп, зелень.",Маленькая пицца,350 с,https://nambafood.kg/dish_image/46341.png
Столичная 27 см,"Пицца соус, моцарелла, салями, ветчина говяжья, куриное филе, маринованные огурчики, майонез.",Маленькая пицца,350 с,https://nambafood.kg/dish_image/46344.png
Чибо Вок 27 см,"Пицца соус, моцарелла, телятина, куриное филе, перец болгарский красный и зеленый, стручковая фасоль, китайская капуста, зелень.",Маленькая пицца,360 с,https://nambafood.kg/dish_image/46345.png
Чертовка 28 см,"Пицца соус, моцарелла, поджаренное салями, халапеньо.",Маленькая пицца,350 с,https://nambafood.kg/dish_image/46346.png
Атлантида 27 см,"Пицца соус, моцарелла, креветки салатные, лосось, перец болгарский красный и зеленый, оливки, кунжут, лимон.",Маленькая пицца,450 с,https://nambafood.kg/dish_image/46349.png
Мексиканская Сальса 27 см,"ПИЦЦА-СОУС, СЫР ""МОЦАРЕЛЛА"",  КУРИНАЯ ГРУДКА, ГОВЯДИНА, ПЕРЕЦ БОЛГАРСКИЙ, ОСТРЫЕ ПЕРЧИКИ ХАЛАПЕНЬЮ, СОУС ""САЛЬСА"", ЗЕЛЕНЬ",Маленькая пицца,390 с,https://nambafood.kg/dish_image/46350.png
Джуниор 27 см,"Пицца соус, моцарелла, салями, картофель фри, сладкая кукуруза, кетчуп.",Маленькая пицца,330 с,https://nambafood.kg/dish_image/46357.png
Грибная 27 см,"Шампиньоны в сливочном соусе, моцарелла, зелень.",Маленькая пицца,330 с,https://nambafood.kg/dish_image/46358.png
Курица с грибами 27 см,"Пицца соус, моцарелла, куриная грудка, маринованные шампиньоны, соленые огурчики.",Маленькая пицца,360 с,https://nambafood.kg/dish_image/46359.png
Мясное ассорти 27 см,"Пицца соус моцарелла, говядина, куриная грудка, салями, ветчина говяжья.",Маленькая пицца,350 с,https://nambafood.kg/dish_image/46360.png
Вегетарианская 27 см,"Пицца соус, моцарелла, помидоры, шампиньоны маринованные, болгарский перец красный и зеленый, брокколи, стручковая фасоль, маслины, лук, зелень.",Маленькая пицца,350 с,https://nambafood.kg/dish_image/46361.png
Барбекью 27 см,"Пицца соус, моцарелла, куриное филе, ветчина, салями, соус BBQ, зелень.",Маленькая пицца,350 с,https://nambafood.kg/dish_image/62908.png
Четыре сыра 27 см,"Сливочный белый соус, моцарелла, дор блю, фетакса.",Маленькая пицца,370 с,https://nambafood.kg/dish_image/46362.png
Чикен Хот 27 см,"Пицца соус, моцарелла, куриное филе, перец болгарский красный и зеленый, помидоры, острые перчики халапеньно, лук.",Маленькая пицца,360 с,https://nambafood.kg/dish_image/62910.png
Бьянко 27 см,"Сливочный белый соус, моцарелла.",Маленькая пицца,230 с,https://nambafood.kg/dish_image/46364.png
Гавайская 27 см,"Сливочный белый соус, моцарелла, куриное филе, ананасы, кунжут.",Маленькая пицца,350 с,https://nambafood.kg/dish_image/46366.png
Наггетсы,200 г. Куриное филе в панировке обжаренное во фритюре.,Закуски,280 с,https://nambafood.kg/dish_image/114760.png
Рис отварной,150 г,Закуски,60 с,https://nambafood.kg/dish_image/38032.png
Хлебные палочки,"140 г. Оригинальный рецепт теста, яйцо, орегано и кунжут.",Закуски,30 с,https://nambafood.kg/dish_image/38034.png
Картофель фри,150 г,Закуски,120 с,https://nambafood.kg/dish_image/38037.png
Картофель по-деревенски,150 г. Картофель обжаренный по фритюре.,Закуски,120 с,https://nambafood.kg/dish_image/38038.png
Оливье,"298 г. Ветчина говяжья, картофель отварной, морковь, зеленый горошек, маринованные огурцы, яйцо, лук репчатый, майонез, зелень.",Салаты,170 с,https://nambafood.kg/dish_image/38042.png
Чукка,"160 г. Лист салата, салат чукка, ореховый соус, лимон, кунжут.",Салаты,230 с,https://nambafood.kg/dish_image/38045.png
Греческий салат,"300 г. Лист салата, огурцы, помидоры, болгарский перец красный и зеленый, сыр фета, маслины, лук красный, итальянская заправка.",Салаты,260 с,https://nambafood.kg/dish_image/38046.png
Цезарь с курицей,"250 г. Лист салата, куриное филе, яйцо, помидоры черри, сыр пармезан, соус цезарь, гренки.",Салаты,280 с,https://nambafood.kg/dish_image/38048.png
Цезарь с лососем,"230 г. Лист салата, лосось холодного копчения, яйцо, помидоры черри, пармезан, соус цезарь, гренки.",Салаты,390 с,https://nambafood.kg/dish_image/38049.png
Татаки Тунец,"Рис, тунец, зеленый лук.",Суши,90 с,https://nambafood.kg/dish_image/38082.png
Татаки Лосось,"Рис, лосось, зеленый лук.",Суши,90 с,https://nambafood.kg/dish_image/38083.png
Спайс Эби,"Рис, тигровая креветка, спайси соус, нори.",Суши,110 с,https://nambafood.kg/dish_image/38084.png
Спайс Угорь,"Рис, угорь, спайси соус, нори.",Суши,100 с,https://nambafood.kg/dish_image/38085.png
Спайс Тунец,"Рис, тунец, спайс соус, нори.",Суши,90 с,https://nambafood.kg/dish_image/38086.png
Спайс Лосось,"Рис, лосось, спайс соус, нори.",Суши,90 с,https://nambafood.kg/dish_image/38087.png
Гункан Чука,"Рис, салат чука, нори, кунжут, соус гамадари.",Суши,30 с,https://nambafood.kg/dish_image/38088.png
Гункан Тобико,"Рис, тобико, нори.",Суши,50 с,https://nambafood.kg/dish_image/38089.png
Гункан Кунсей,"Рис, лосось холодного копчения, нори, лимон.",Суши,90 с,https://nambafood.kg/dish_image/38090.png
Эби,"Рис, тигровая креветка.",Суши,90 с,https://nambafood.kg/dish_image/38091.png
Кунсей,"Рис, лосось холодного копчения, лимон.",Суши,90 с,https://nambafood.kg/dish_image/38093.png
Тунец,"Рис, тунец.",Суши,85 с,https://nambafood.kg/dish_image/38095.png
Лосось,"Рис, лосось.",Суши,90 с,https://nambafood.kg/dish_image/38096.png
Планета Темпура,"Рис, сливочный сыр, огурцы, лосось, лист салата, омлет, тамаго, сухари панко, нори.",Роллы,350 с,https://nambafood.kg/dish_image/91509.png
Цезарь Темпура с семгой,"Рис, куриное филе, лосось, помидоры, панировочные сухари, нори, соус терияки.",Роллы,340 с,https://nambafood.kg/dish_image/91510.png
Цезарь Темпура,"Рис, куриное филе, помидоры, лист салата, жареный лук, сухари панко, соус терияки, нори.",Роллы,190 с,https://nambafood.kg/dish_image/91511.png
Олимп,"Рис, куриное филе, помидоры, огурец, сливочный сыр, сухари панко, соус каспер, нори.",Роллы,220 с,https://nambafood.kg/dish_image/46370.png
Нами,"Рис, киви, сливочный сыр, блин чакин, нори.",Роллы,190 с,https://nambafood.kg/dish_image/38140.png
Калифорния ролл,"Рис, снежный краб, огурец, сливочный соус, нори, икра тобико.",Роллы,350 с,https://nambafood.kg/dish_image/38135.png
Цезарь ролл,"Рис, лист салата, помидоры, куриное филе, соус цезарь, сыр пармезан, нори.",Роллы,190 с,https://nambafood.kg/dish_image/38128.png
Филадельфия ролл,"Рис, лосось, сливочный сыр, нори.",Роллы,470 с,https://nambafood.kg/dish_image/38109.png
Филадельфия с огурцом,"Рис, лосось, сливочный сыр, огурец, нори.",Роллы,470 с,https://nambafood.kg/dish_image/56796.png
Дакота,"Рис, лосось, крем шапка, сливочный сыр, огурец, икра тобико, унаги соус, нори.",Роллы,390 с,https://nambafood.kg/dish_image/56794.png
Калифорния с угрем,"Рис, снежный краб, угорь копченый, огурец, икра тобико, нори.",Роллы,330 с,https://nambafood.kg/dish_image/46369.png
Филадельфия Хот,"Рис, лосось, сливочный сыр, омлет тамаго, сырный крем, нори.",Роллы,470 с,https://nambafood.kg/dish_image/38110.png
Филадельфия хот Спайс,"Рис, лосось, сливочный сыр, омлет тамаго, острый сырный крем, нори.",Роллы,470 с,https://nambafood.kg/dish_image/38111.png
Калифорния Хот,"Краб, снежный краб, огурец, икра тобико, сырный крем, нори.",Роллы,370 с,https://nambafood.kg/dish_image/38112.png
Калифорния Хот Спайс,"Рис, снежный краб, огурец, икра тобико, острый сырный крем, нори.",Роллы,370 с,https://nambafood.kg/dish_image/38113.png
Филадельфия Гриль,"Рис, лосось гриль, сливочный сыр, огурец, омлет тамаго, лук, нори.",Роллы,420 с,https://nambafood.kg/dish_image/38114.png
Судзуки Фила,"РИС, ЛОСОСЬ Х.К, ОГУРЕЦ, СЛИВОЧНЫЙ СЫР, КУНЖУТ, НОРИ",Роллы,310 с,https://nambafood.kg/dish_image/38118.png
Грибной ролл,"Рис, грибы шиитаке, огурец, сливочный сыр и нори",Роллы,170 с,https://nambafood.kg/dish_image/38121.png
Сяке маки Хот,"Рис, лосось, майонез, сырный крем, нори.",Роллы,250 с,https://nambafood.kg/dish_image/38124.png
Сяке маки Хот Спайс,"Рис, лосось, майонез, острый сырный крем, нори.",Роллы,250 с,https://nambafood.kg/dish_image/38125.png
Сяке маки,"Рис, лосось, майонез, нори.",Роллы,270 с,https://nambafood.kg/dish_image/38126.png
Эби Спайс,"Тигровые креветки, огурец, соус спайс, нори.",Роллы,200 с,https://nambafood.kg/dish_image/38129.png
Эби Хот,"Рис, тигровые креветки, огурец, сырный крем, нори.",Роллы,210 с,https://nambafood.kg/dish_image/38130.png
Эби Хот Спайс,"Рис, тигровые креветки, огурец, острый сырный крем, нори.",Роллы,210 с,https://nambafood.kg/dish_image/38131.png
Аляска,"Рис, лосось, омлет тамаго, огурец, сливочный сыр, нори, кунжут.",Роллы,230 с,https://nambafood.kg/dish_image/38136.png
Такаво Маки,"Рис, такуан, авокадо, нори.",Роллы,130 с,https://nambafood.kg/dish_image/38138.png
Эби Тен Рору,"Рис, тигровые креветки, кунжут, имбирь, темпура кляр, нори.",Роллы,250 с,https://nambafood.kg/dish_image/38139.png
Тори спайс темпура,"Рис, куриное филе гриль, сыр моцарелла, огурец, спайс соус, темпура кляр, сухари панко, нори.",Роллы,160 с,https://nambafood.kg/dish_image/38143.png
Мидзуми,"Рис, тунец, морской окунь, икра тобико, майонез, зеленый лук, соус унаги, темпура кляр, панировочные сухари, нори.",Роллы,250 с,https://nambafood.kg/dish_image/38145.png
Каспер,"Рис, тигровая креветка, такуан, виноград, икра тобико, темпура кляр, сухари панко, соус каспер, нори.",Роллы,250 с,https://nambafood.kg/dish_image/38146.png
Сакура,"Рис, угорь, лосось, авокадо, огурец, икра тобико, соус спайс, кунжут, темпура кляр, сухари панко, нори.",Роллы,350 с,https://nambafood.kg/dish_image/38148.png
Нежность,"Рис, сливочный сыр, виноград, икра масаго, нори.",Роллы,190 с,https://nambafood.kg/dish_image/91507.png
Кани тамаго,"Рис, снежный краб, омлет тамаго, сливочный соус, киви, нори.",Роллы,190 с,https://nambafood.kg/dish_image/38152.png
Сяке тен рору,"Рис, лосось, сливочный сыр, темпура кляр, нори.",Роллы,230 с,https://nambafood.kg/dish_image/38155.png
Каппа маки,"Рис, огурец, кунжут, нори.",Роллы,110 с,https://nambafood.kg/dish_image/38156.png
Гурман,"Рис, тигровые креветки, угорь, сливочный сыр, авокадо, темпура кляр, сухари панко, нори.",Роллы,350 с,https://nambafood.kg/dish_image/38157.png
Планета маки,"Рис, лосось, такуан, сливочный сыр, омлет тамаго, лист салата, нори.",Роллы,290 с,https://nambafood.kg/dish_image/38158.png
Вегетарианский ролл,"Рис, огурец, помидоры, лист салата, тофу, чукка, морковь, темпура, сухари Панко, нори",Роллы,190 с,https://nambafood.kg/dish_image/38161.png
Магуро маки,"Рис, тунец, огурец, нори.",Роллы,210 с,https://nambafood.kg/dish_image/38166.png
Унаги маки,"Рис, угорь, огурец, кунжут, нори.",Роллы,240 с,https://nambafood.kg/dish_image/38168.png
Унаги Маки Хот,"Рис, угорь, омлет тамаго, огурец, сырный крем, кунжут, нори.",Роллы,230 с,https://nambafood.kg/dish_image/38169.png
Унаги Маки Хот Спайс,"Рис, угорь, омлет тамаго, огурец, острый сырный крем, кунжут, нори.",Роллы,230 с,https://nambafood.kg/dish_image/38170.png
Эби Темпура Маки,"Рис, тигровые креветки в кляре, огурец, нори.",Роллы,250 с,https://nambafood.kg/dish_image/38171.png
Филадельфия киви,"Рис, лосось, киви, сливочный сыр, нори.",Роллы,470 с,https://nambafood.kg/dish_image/38175.png
Хаяши,"Рис, жарены лосось, угорь, огурец, сливочный сыр, кунжут, нори.",Роллы,420 с,https://nambafood.kg/dish_image/38179.png
Бонито,"Рис, лосось с терияки, огурцы, стружка тунца, сливочный сыр, нори.",Роллы,350 с,https://nambafood.kg/dish_image/38181.png
Бонито Хот,"Рис, лосось в соусе терияки, огурец,сливочный сыр, стружка тунца, сырный крем, нори.",Роллы,340 с,https://nambafood.kg/dish_image/38182.png
Бонито Хот Спайс,"РИС, ЛОСОСЬ В СОУСЕ ""ТЕРИЯКИ"", ОГУРЕЦ, СЛИВОЧНЫЙ СЫР, СТРУЖКА ТУНЦА, ОСТРЫЙ СЫРНЫЙ КРЕМ, НОРИ",Роллы,340 с,https://nambafood.kg/dish_image/38183.png
Чука маки,"Рис, салат чука, кунжут, нори.",Роллы,120 с,https://nambafood.kg/dish_image/38184.png
Запеченный сет 24 шт,"Филадельфия ролл 8 шт, Калифорния ролл 8 шт, Унаги хот ролл 8 шт.",Сеты,999 с,https://nambafood.kg/dish_image/38187.png
