Наименование,Описание,Категория,Цена,Фото
Шашлык из окорочков,,Шашлыки,230 с,https://nambafood.kg/dish_image/118088.png
Шашлык из крылышек,,Шашлыки,250 с,https://nambafood.kg/dish_image/118089.png
Шашлык из куриного филе,,Шашлыки,270 с,https://nambafood.kg/dish_image/118090.png
Баранья печень в рубашке,,Шашлыки,260 с,https://nambafood.kg/dish_image/118091.png
Люля кебаб в лаваше,,Шашлыки,200 с,https://nambafood.kg/dish_image/118092.png
Шашлык из бараньих ребер,,Шашлыки,330 с,https://nambafood.kg/dish_image/118093.png
Шашлык особый,,Шашлыки,380 с,https://nambafood.kg/dish_image/118094.png
Шашлык из бараньей мякоти,,Шашлыки,350 с,https://nambafood.kg/dish_image/118095.png
Баранина антрекот,,Шашлыки,390 с,https://nambafood.kg/dish_image/118097.png
Баранина бон филе,,Шашлыки,370 с,https://nambafood.kg/dish_image/118098.png
Говядина мякоть,,Шашлыки,360 с,https://nambafood.kg/dish_image/118099.png
Люля кебаб метровый,Соус + лаваш,Шашлыки,600 с,https://nambafood.kg/dish_image/118104.png
Ассорти от шеф шашлычника,"Шашлык овощной, Баранина ребро, Баранина антрекот, Баранина мякоть, Шашлык особый, Люля кебаб 2 палочки, Говядина мякоть, Картофель на мангале, соус и лаваш.",Шашлыки,2580 с,https://nambafood.kg/dish_image/118105.png
Ассорти «Шашлык парк»,"Баранина мякоть, Особый, Люля кебаб, Крылышки, Окорочка, Овощной, Филе куриное, Картофель на мангале, соус и лаваш.",Шашлыки,2240 с,https://nambafood.kg/dish_image/118106.png
Ассорти «Мангал»,"Печень, Филе куриное, Крылышки, Окорочка, Кантофель на мангале, соус и лаваш.",Шашлыки,1170 с,https://nambafood.kg/dish_image/118107.png
Шашлык овощной,,Шашлыки,180 с,https://nambafood.kg/dish_image/118100.png
Картофель на мангале,,Шашлыки,100 с,https://nambafood.kg/dish_image/118101.png
Шашлычный соус,,Шашлыки,35 с,https://nambafood.kg/dish_image/118102.png
Лаваш,,Шашлыки,25 с,https://nambafood.kg/dish_image/118103.png
