Наименование,Описание,Категория,Цена,Фото
Белый бельгийский шоколад 34%,,Фирменный шоколад,295 с,https://nambafood.kg/dish_image/138098.png
Молочный шоколад «Origine Papouasie 35%»‎‎,,Фирменный шоколад,295 с,https://nambafood.kg/dish_image/138099.png
Клубничный шоколад 30%,,Фирменный шоколад,295 с,https://nambafood.kg/dish_image/138100.png
"Белый шоколад с карамелью 30,4%",,Фирменный шоколад,295 с,https://nambafood.kg/dish_image/138101.png
Экстра горький шоколад 80%,,Фирменный шоколад,295 с,https://nambafood.kg/dish_image/138102.png
Темный шоколад «Origine Mexique 66%»‎‎,,Фирменный шоколад,295 с,https://nambafood.kg/dish_image/138240.png
Молочный шоколад с фундуком,,Фирменный шоколад,350 с,https://nambafood.kg/dish_image/138103.png
Молочный шоколад «Origine Papouasie 35%»‎‎,,Фирменный шоколад,395 с,https://nambafood.kg/dish_image/138104.png
Темный шоколад с цельным миндалем 64%,,Фирменный шоколад,395 с,https://nambafood.kg/dish_image/138105.png
Молочный шоколад с цельным фундуком 34%,,Фирменный шоколад,395 с,https://nambafood.kg/dish_image/138106.png
Белый шоколад с лепестками миндаля и кокосом 28%,,Фирменный шоколад,395 с,https://nambafood.kg/dish_image/138107.png
"Рубиновый шоколад 47,3%",С фруктово-ягодным вкусом,Фирменный шоколад,395 с,https://nambafood.kg/dish_image/138241.png
Горький шоколад с апельсиновыми цукатами 70%,,Фирменный шоколад,395 с,https://nambafood.kg/dish_image/138108.png
Темный шоколад с миндалем и клюквой,,Фирменный шоколад,350 с,https://nambafood.kg/dish_image/138109.png
Белый бельгийский шоколад с малиной,,Фирменный шоколад,350 с,https://nambafood.kg/dish_image/138110.png
Карамельный шоколад с пеканом,,Фирменный шоколад,350 с,https://nambafood.kg/dish_image/138111.png
Темный бельгийский шоколад с манго маракуйя,,Фирменный шоколад,350 с,https://nambafood.kg/dish_image/138112.png
Молочный бельгийский шоколад с фисташкой,,Фирменный шоколад,350 с,https://nambafood.kg/dish_image/138113.png
