Наименование,Описание,Категория,Цена,Фото
Легенда 0.5 л,1 бутылка,Вода,23 с,https://nambafood.kg/dish_image/114864.png
Легенда 0.5 л Sport,1 бутылка,Вода,25 с,https://nambafood.kg/dish_image/116411.png
Легенда 0.33 л,1 бутылка,Вода,44 с,https://nambafood.kg/dish_image/114879.png
Легенда 1 л,1 бутылка,Вода,28 с,https://nambafood.kg/dish_image/114866.png
Легенда 1.5 л,1 бутылка,Вода,32 с,https://nambafood.kg/dish_image/114867.png
Легенда 5 л,1 бутылка,Вода,73 с,https://nambafood.kg/dish_image/114868.png
Легенда Night 0.5 л,1 бутылка,Вода,23 с,https://nambafood.kg/dish_image/114877.png
Легенда Night 1 л,1 бутылка,Вода,28 с,https://nambafood.kg/dish_image/114878.png
Байтик 0.5 л,1 бутылка,Вода,23 с,https://nambafood.kg/dish_image/114869.png
Байтик 1 л,1 бутылка,Вода,27 с,https://nambafood.kg/dish_image/116409.png
Байтик 1.5 л,1 бутылка,Вода,32 с,https://nambafood.kg/dish_image/114871.png
Арашан 0.5 л стекло,1 бутылка,Вода,52 с,https://nambafood.kg/dish_image/116408.png
Ыссык-Ата 0.5 л стекло,1 бутылка,Вода,53 с,https://nambafood.kg/dish_image/116410.png
Ыссык-Ата 0.5 л,1 бутылка,Вода,23 с,https://nambafood.kg/dish_image/114872.png
Ыссык-Ата 1 л,1 бутылка,Вода,27 с,https://nambafood.kg/dish_image/114873.png
Ыссык-Ата 1.5 л,1 бутылка,Вода,32 с,https://nambafood.kg/dish_image/114874.png
Максым Шоро 1 л,1 бутылка,Национальные напитки,65 с,https://nambafood.kg/dish_image/116789.png
Чалап Шоро 1 л,1 бутылка,Национальные напитки,70 с,https://nambafood.kg/dish_image/116790.png
Жарма Шоро 1 л,1 бутылка,Национальные напитки,65 с,https://nambafood.kg/dish_image/116791.png
Аралаш Шоро 1 л,1 бутылка,Национальные напитки,65 с,https://nambafood.kg/dish_image/116792.png
Тан Шоро 1 л,1 бутылка,Национальные напитки,70 с,https://nambafood.kg/dish_image/125848.png
Квас Шоро 1 л,1 бутылка,Национальные напитки,65 с,https://nambafood.kg/dish_image/125849.png
Бозо Шоро классический 1 л,1 бутылка,Национальные напитки,75 с,https://nambafood.kg/dish_image/116793.png
Бозо Шоро с облепихой 1 л,1 бутылка,Национальные напитки,84 с,https://nambafood.kg/dish_image/114863.png
Курут Х,10 г,Куруты,15 с,https://nambafood.kg/dish_image/116407.png
Курут Лайт,30 г,Куруты,32 с,https://nambafood.kg/dish_image/116405.png
Курут классический (круглый),30 г,Куруты,32 с,https://nambafood.kg/dish_image/114881.png
Курутики (круглый),15 г,Куруты,19 с,https://nambafood.kg/dish_image/114882.png
Курут индивидуальный,5 г,Куруты,10 с,https://nambafood.kg/dish_image/114880.png
Батончик «Абрикос с семенами чиа»,35 г,Батончики,38 с,https://nambafood.kg/dish_image/116402.png
Батончик «Чернослив»,35 г,Батончики,38 с,https://nambafood.kg/dish_image/116403.png
Батончик «Щелковица»,35 г,Батончики,38 с,https://nambafood.kg/dish_image/116401.png
Батончик «Инжир»,35 г,Батончики,38 с,https://nambafood.kg/dish_image/116404.png
Стаканы бумажные «Легенда»,200 мл. 10 шт. в упаковке.,Разное,25 с,https://nambafood.kg/dish_image/119870.png
Легенда 0.5 л - упаковка,15 бутылок в упаковке,Продукция в упаковках,270 с,https://nambafood.kg/dish_image/116413.png
Легенда 0.5 л Sport - упаковка,15 бутылок в упаковке,Продукция в упаковках,315 с,https://nambafood.kg/dish_image/116415.png
Легенда 0.33 л - упаковка,12 бутылок в упаковке,Продукция в упаковках,444 с,https://nambafood.kg/dish_image/116417.png
Легенда 1 л - упаковка,8 бутылок в упаковке,Продукция в упаковках,184 с,https://nambafood.kg/dish_image/116419.png
Легенда 1.5 л - упаковка,6 бутылок в упаковке,Продукция в упаковках,162 с,https://nambafood.kg/dish_image/116421.png
Легенда 5 л - упаковка,4 бутылок в упаковке,Продукция в упаковках,248 с,https://nambafood.kg/dish_image/116423.png
