Наименование,Описание,Категория,Цена,Фото
Суджук из говядины,75 г,Закуски,269 с,https://nambafood.kg/dish_image/59805.png
Бастурма из говядины,75 г,Закуски,399 с,https://nambafood.kg/dish_image/59655.png
Кета копченая,75 г,Закуски,239 с,https://nambafood.kg/dish_image/15825.png
Эсколар,75 г,Закуски,249 с,https://nambafood.kg/dish_image/64471.png
Семга соленая,75 г,Закуски,439 с,https://nambafood.kg/dish_image/15827.png
Креветки пивные,100 г,Закуски,429 с,https://nambafood.kg/dish_image/59626.png
Ассорти рыбное к пиву,"200 г. Кета копченая, семга соленая, эсколар.",Закуски,739 с,https://nambafood.kg/dish_image/59642.png
Салат «Забава»,"200 г. Грибы, огурцы, патиссоны, капуста квашенная.",Салаты и закуски,199 с,https://nambafood.kg/dish_image/59603.png
Салат из шампиньонов,"200 г. Шампиньоны, цветная капуста, помидоры, оливковое масло.",Салаты и закуски,199 с,https://nambafood.kg/dish_image/59601.png
Овощи свежие «по-домашнему»,"200 г. Огурцы, помидоры, перец, со сметаной/дрессингом.",Салаты и закуски,219 с,https://nambafood.kg/dish_image/59635.png
Салат «Греческий»,"200 г. Огурцы, помидоры, брынза, оливки, салат, дрессинг.",Салаты и закуски,299 с,https://nambafood.kg/dish_image/59637.png
Салат «Цезарь» с куриной грудкой,300 г,Салаты и закуски,329 с,https://nambafood.kg/dish_image/64469.png
Салат «Восточный»,"200 г. Говядина, огурцы, помидоры, соя, специи.",Салаты и закуски,309 с,https://nambafood.kg/dish_image/59602.png
Закуска из свиных ушек,200 г,Салаты и закуски,259 с,https://nambafood.kg/dish_image/59638.png
Закуска пивовара,"300 г. Сельдь, картофель жареный, огурцы маринованные.",Салаты и закуски,259 с,https://nambafood.kg/dish_image/59616.png
Закуска из баклажан,200 г,Салаты и закуски,269 с,https://nambafood.kg/dish_image/95102.png
Колбаски «Пеперони» из свинины - острые,150 г. Сырокопченые с острым перцем.,Салаты и закуски,459 с,https://nambafood.kg/dish_image/59630.png
Французский суп-пюре с чесночным хлебом,300 г,Первые блюда,149 с,https://nambafood.kg/dish_image/59611.png
Суп куриный с домашней лапшой,300 г,Первые блюда,259 с,https://nambafood.kg/dish_image/95099.png
Пельмени по-домашнему,300 г,Первые блюда,179 с,https://nambafood.kg/dish_image/59612.png
Солянка мясная,300 г,Первые блюда,259 с,https://nambafood.kg/dish_image/59615.png
Шорпо,300 г. Из баранины с овощами.,Национальные блюда,219 с,https://nambafood.kg/dish_image/59614.png
Куурдак из баранины с картошкой,350 г,Национальные блюда,419 с,https://nambafood.kg/dish_image/104325.png
Жаровня из говядины,350 г,Национальные блюда,539 с,https://nambafood.kg/dish_image/104326.png
Жаровня из баранины,350 г,Национальные блюда,489 с,https://nambafood.kg/dish_image/104327.png
Жаровня из курицы,350 г,Национальные блюда,339 с,https://nambafood.kg/dish_image/104328.png
Колбаски «Мюнхенские» 4 шт,240 г. Томленые из свинины.,Фирменные немецкие колбаски,359 с,https://nambafood.kg/dish_image/59806.png
Колбаски «Венские» 4 шт,240 г. Томленые из говядины.,Фирменные немецкие колбаски,359 с,https://nambafood.kg/dish_image/59807.png
Колбаски «Албанские» 4 шт,"240 г. Томленые из баранины, говядины.",Фирменные немецкие колбаски,359 с,https://nambafood.kg/dish_image/59808.png
Колбаски «Бременские» 4 шт,240 г. Томленые из курятины.,Фирменные немецкие колбаски,359 с,https://nambafood.kg/dish_image/59809.png
Колбаски «Кабаносси» 4 шт,240 г. Из свинины и говядины.,Фирменные немецкие колбаски,359 с,https://nambafood.kg/dish_image/59810.png
Колбаски-гриль «Баварские» 3 шт,240 г. Из свинины.,Фирменные немецкие колбаски,359 с,https://nambafood.kg/dish_image/59811.png
Колбаски-гриль «Силезские» 3 шт,240 г. Из говядины.,Фирменные немецкие колбаски,359 с,https://nambafood.kg/dish_image/59812.png
Колбаски-гриль «Нюрнбергские» 3 шт,240 г. Из свинины.,Фирменные немецкие колбаски,359 с,https://nambafood.kg/dish_image/59813.png
Колбаски-гриль «Альпийские» 1 шт,240 г. Из говядины.,Фирменные немецкие колбаски,359 с,https://nambafood.kg/dish_image/59814.png
Колбаски-гриль «Швейцарские» 1 шт,"240 г. Из свинины, говядины.",Фирменные немецкие колбаски,359 с,https://nambafood.kg/dish_image/59815.png
Колбаски-гриль «Мергез» 1 шт,240 г. Из баранины.,Фирменные немецкие колбаски,359 с,https://nambafood.kg/dish_image/59816.png
Эскалоп с острым соусом,250 г. Эскалоп с острым соусом «Кончита»,Блюда из свинины,369 с,https://nambafood.kg/dish_image/59625.png
Стейк из шейки,250 г,Блюда из свинины,389 с,https://nambafood.kg/dish_image/59610.png
Рулька маринованная по-немецки,"1 шт. С квашеной капустой и картофельным пюре. (1,3-1,5 кг)",Блюда из свинины,1759 с,https://nambafood.kg/dish_image/59632.png
Шницель из куриной грудки,200 г,Блюда из птицы,339 с,https://nambafood.kg/dish_image/95105.png
Цыпленок табака в чесночном соусе,1/2 тушки,Блюда из птицы,529 с,https://nambafood.kg/dish_image/59617.png
Классический бургер,1 шт.,Блюда из телятины,299 с,https://nambafood.kg/dish_image/95107.png
Стейк по-французски из бон-филе,200 гр.,Блюда из телятины,619 с,https://nambafood.kg/dish_image/59608.png
Баранина по-македонски,250 г. Нежные кусочки баранины тушеные с луком.,Блюда из баранины,499 с,https://nambafood.kg/dish_image/59648.png
Бараньи ребрышки с овощами,300 г,Блюда из баранины,459 с,https://nambafood.kg/dish_image/59644.png
Рулька баранья под чесночным соусом,1 шт.,Блюда из баранины,659 с,https://nambafood.kg/dish_image/59634.png
"Форель радужная, жареная со специями под соусом Бешамель",300 г,Рыба и морепродукты,596 с,https://nambafood.kg/dish_image/59663.png
Стейк из филе семги с овощами,200 г,Рыба и морепродукты,779 с,https://nambafood.kg/dish_image/59609.png
"Соус острый, пикантный","50 г. Соя, перец, чеснок, винный уксус",Соусы,58 с,https://nambafood.kg/dish_image/64472.png
Соус острый из хрена,50 г,Соусы,58 с,https://nambafood.kg/dish_image/15833.png
Соус чесночный красный,50 г,Соусы,58 с,https://nambafood.kg/dish_image/64474.png
Кетчуп Heinz,50 гр.,Соусы,38 с,https://nambafood.kg/dish_image/118819.png
Горчица,50 г,Соусы,30 с,https://nambafood.kg/dish_image/15836.png
Пюре картофельное,200 г,Гарниры,95 с,https://nambafood.kg/dish_image/59621.png
Тушеная квашенная капуста,200 г,Гарниры,105 с,https://nambafood.kg/dish_image/64479.png
Помес-фритес,150 г. Картофель фри,Гарниры,110 с,https://nambafood.kg/dish_image/64480.png
Рис,150 г,Гарниры,115 с,https://nambafood.kg/dish_image/59631.png
Картофель запеченый под сыром,"200 г. Картофель, майонез, сыр, зелень",Гарниры,129 с,https://nambafood.kg/dish_image/59622.png
Овощи-гриль ассорти,200 г,Гарниры,139 с,https://nambafood.kg/dish_image/59629.png
Картофель по-деревенски,150 г,Гарниры,129 с,https://nambafood.kg/dish_image/95109.png
Хлеб ржаной,30 г,Гарниры,8 с,https://nambafood.kg/dish_image/15840.png
Хлеб белый,30 г,Гарниры,8 с,https://nambafood.kg/dish_image/15839.png
Хлеб чесночный,80 г,Гарниры,59 с,https://nambafood.kg/dish_image/64475.png
«Чикен-Вингс» куриные крылышки на гриле,3 шт.,Шашлыки и Барбекю (с 17.00 до 00.00),259 с,https://nambafood.kg/dish_image/59653.png
