Наименование,Описание,Категория,Цена,Фото
Ролл калифорния с крабом 8 шт.,"Рис, нори, майонез, краб, огурец, тобико.",Роллы,250 с,https://nambafood.kg/dish_image/122452.png
Ролл калифорния с лососем 8 шт.,"Рис,нори,майонез,огурец,лосось,тобико.",Роллы,270 с,https://nambafood.kg/dish_image/122458.png
Ролл канада 8 шт.,"Рис, нори, майонез, тобико, снежный краб, огурец, угорь, унаги соус, кунжут.",Роллы,310 с,https://nambafood.kg/dish_image/122453.png
Ролл запеченный с лососем 8 шт.,"Рис, нори, сыр сливочный, салат айсберг, огурец, лосось, лайм, кимчи соус.",Роллы,270 с,https://nambafood.kg/dish_image/122472.png
Ролл нежный 8 шт.,"Рис, нори, сыр сливочный, тобико, лосось.",Роллы,290 с,https://nambafood.kg/dish_image/122455.png
Ролл нежный делюкс 8 шт.,"Рис, нори, сыр сливочный, тобико, лосось, салат чука.",Роллы,300 с,https://nambafood.kg/dish_image/122456.png
Ролл филадельфия 8 шт.,"Рис,Нори, Сыр сливочный, огурец, лосось, японский омлет, тобико.",Роллы,280 с,https://nambafood.kg/dish_image/122459.png
Ролл тайга 8 шт.,"Рис, нори, сыр сливочный, огурец, японский омлет, тобико, чипсы, соус спайс, лосось.",Роллы,290 с,https://nambafood.kg/dish_image/122460.png
Ролл вегас 8 шт.,"Рис, нори, сыр сливочный, соус спайс, салат айсберг, огурец, лосось, чипсы.",Роллы,270 с,https://nambafood.kg/dish_image/122461.png
Ролл с угрем 8 шт.,"Рис, нори, огурец, угорь, унаги соус, кунжут.",Роллы,170 с,https://nambafood.kg/dish_image/122462.png
Ролл с лососем 8 шт.,"Рис, нори, лосось.",Роллы,160 с,https://nambafood.kg/dish_image/122463.png
Ролл с огурцом 8 шт.,"Рис, нори, кунжут, огурец.",Роллы,130 с,https://nambafood.kg/dish_image/122464.png
Ролл запечённый Якитори 8 шт.,"Рис, нори, сыр сливочный, огурец, салат айсберг, курица, японский омлет, тобико, соус спайс, сыр моцарелла, помидор, кунжут.",Роллы,290 с,https://nambafood.kg/dish_image/122465.png
Ролл фирменный 12 шт.,"Рис, нори, креветка темпура, лосось, сыр моцарелла, огурец, майонез, тобико, салат айсберг, темпура.",Роллы,330 с,https://nambafood.kg/dish_image/122466.png
